"X__1"	"ID0"	"Description"	"reaction"	"rxnID"	"reaction_corrected"	"gene"	"ec_uniprot"	"subsystem"	"Reversibility"	"Reversibility_evidences"	"Remark"	"subsystem_standard"	"RHEA_ID"	"RHEA_ID2"	"metnetID"	"metnetID2"	"formula_metnet"	"formula_metnet_balance"	"Equation"	"formula_rhea"
155	"Rh156"	"Alpha-1,3/1,6-mannosyltransferase ALG2 (EC 2.4.1.132) (EC 2.4.1.257) (Asparagine-linked glycosylation protein 2) (GDP-Man:Man(1)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase) (GDP-Man:Man(1)GlcNAc(2)-PP-dolichol mannosyltransferase) (GDP-Man:Man(2)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase)"	"GDP-D-mannose  + G00003 <=> GDP  + G00004"	"R05973"	"GDP-alpha-D-mannose + G00003 <=> GDP + G00004"	"YGL065C"	"2.4.1.132; 2.4.1.257"	"N-Glycan biosynthesis"	1	"NA"	"Add new reaction;"	"sce00510  n-glycan biosynthesis"	"rhea:29515"	"NA"	NA	"MNXR126395"	"1 `beta-D-mannosyl-(1->4)-N,N'-diacetylchitobiosyldiphosphodolichol` + 1 `GDP-alpha-D-mannose` = 1 `H(+)` + 1 `alpha-D-Man-(1->3)-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol` + 1 `GDP`"	"true"	"1 MNXM1078@MNXD1 + 1 MNXM82@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM11174@MNXD1 + 1 MNXM30@MNXD1"	"beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol + GDP-alpha-D-mannose => alpha-D-Man-(1->3)-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol + GDP + H(+);alpha-D-Man-(1->3)-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol + GDP + H(+) => beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol + GDP-alpha-D-mannose"
156	"Rh157"	"Alpha-1,3/1,6-mannosyltransferase ALG2 (EC 2.4.1.132) (EC 2.4.1.257) (Asparagine-linked glycosylation protein 2) (GDP-Man:Man(1)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase) (GDP-Man:Man(1)GlcNAc(2)-PP-dolichol mannosyltransferase) (GDP-Man:Man(2)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase)"	"GDP-D-mannose  + G00004 <=> GDP  + G00005"	"R06238"	"GDP-alpha-D-mannose + G00004 <=> GDP + G00005"	"YGL065C"	"2.4.1.132; 2.4.1.257"	"N-Glycan biosynthesis"	1	"NA"	"Add new reaction;"	"sce00510  n-glycan biosynthesis"	"rhea:29519"	"NA"	"MNXR110084"	"MNXR126396"	"1 `alpha-D-Man-(1->3)-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol` + 1 `GDP-alpha-D-mannose` = 1 `H(+)` + 1 `alpha-D-Man-(1->3)-[alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol` + 1 `GDP`"	"true"	"1 MNXM11174@MNXD1 + 1 MNXM82@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM162650@MNXD1 + 1 MNXM30@MNXD1"	"alpha-D-Man-(1->3)-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol + GDP-alpha-D-mannose => alpha-D-Man-(1->3)-[alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol + GDP + H(+);alpha-D-Man-(1->3)-[alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol + GDP + H(+) => alpha-D-Man-(1->3)-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol + GDP-alpha-D-mannose"
159	"Rh160"	"Threonylcarbamoyl-AMP synthase (TC-AMP synthase) (EC 2.7.7.87) (L-threonylcarbamoyladenylate synthase) (Suppressor of upstream AUG protein 5) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein SUA5) (tRNA threonylcarbamoyladenosine biosynthesis protein SUA5)"	"L-Threonine  + ATP  + HCO3(-)  + H(+) + <=> L-Threonylcarbamoyladenylate  + Diphosphate  + H2O"	"R10463"	"L-threonine + ATP + bicarbonate + H+ -> L-Threonylcarbamoyladenylate + diphosphate + H2O"	"YGL169W"	"2.7.7.87"	"Other"	0	"Based on yeastGEM;"	"Add new reaction;"	"other"	"rhea:36407"	"NA"	NA	"MNXR113802"	"1 `diphosphate` + 1 `L-threonylcarbamoyladenylate` + 1 `H2O` = 1 `L-threonine` + 1 `ATP` + 1 `hydrogencarbonate`"	"true"	"1 MNXM11@MNXD1 + 1 MNXM145767@MNXD1 + 1 MNXM2@MNXD1 = 1 MNXM142@MNXD1 + 1 MNXM3@MNXD1 + 1 MNXM60@MNXD1"	"L-threonine + ATP + hydrogencarbonate => L-threonylcarbamoyladenylate + diphosphate + H2O;L-threonylcarbamoyladenylate + diphosphate + H2O => L-threonine + ATP + hydrogencarbonate"
160	"Rh161"	"D-serine dehydratase (EC 4.3.1.18) (D-serine deaminase) (DSD)"	"D-Serine <=> Pyruvate  + Ammonia"	"R00221"	"D-Serine <=> pyruvate + ammonium"	"YGL196W"	"4.3.1.18"	"Glycine, serine and threonine metabolism"	1	"NA"	"Add new reaction;"	"sce00260  glycine, serine and threonine metabolism"	"rhea:13977"	"NA"	NA	"MNXR104338"	"1 `NH4(+)` + 1 `pyruvate` = 1 `D-serine`"	"true"	"1 MNXM15@MNXD1 + 1 MNXM23@MNXD1 = 1 MNXM694@MNXD1"	"D-serine => NH4(+) + pyruvate;NH4(+) + pyruvate => D-serine"
161	"Rh162"	"Putative cysteine synthase (CS) (EC 2.5.1.47) (Cysteine synthase-like protein) (CSl) (O-acetylserine (thiol)-lyase) (OAS-TL) (O-acetylserine sulfhydrylase)"	"O-acetyl-L-serine  + hydrogen sulfide <=> L-cysteine  + acetate"	"R00897"	"O-acetyl-L-serine + hydrogen sulfide <=> L-cysteine + acetate"	"YGR012W"	"2.5.1.47"	"Cysteine and methionine metabolism"	1	"NA"	"Add new reaction;"	"sce00270  cysteine and methionine metabolism"	"rhea:14829"	"NA"	NA	"MNXR97007"	"1 `acetate` + 1 `L-cysteine` = 1 `O-acetyl-L-serine` + 1 `hydrogen sulfide`"	"true"	"1 MNXM26@MNXD1 + 1 MNXM55@MNXD1 = 1 MNXM418@MNXD1 + 1 MNXM89582@MNXD1"	"O-acetyl-L-serine + hydrogen sulfide => L-cysteine + acetate;L-cysteine + acetate => O-acetyl-L-serine + hydrogen sulfide"
162	"Rh163"	"Dolichyldiphosphatase (EC 3.6.1.43) (Dolichyl pyrophosphate phosphatase)"	"Dolichyl diphosphate  + H2O <=> Dolichyl phosphate  + Orthophosphate"	"R01004"	"dolichyl diphosphate + H2O <=> dolichyl phosphate + phosphate"	"YGR036C"	"3.6.1.43"	"N-Glycan biosynthesis"	1	"NA"	"Add new reaction;"	"sce00510  n-glycan biosynthesis"	"rhea:14385"	"NA"	NA	"MNXR106783"	"1 `H(+)` + 1 `dolichyl phosphate` + 1 `phosphate` = 1 `H2O` + 1 `dolichyl diphosphate`"	"true"	"1 MNXM1@MNXD1 + 1 MNXM278@MNXD1 + 1 MNXM9@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM2370@MNXD1"	"dolichyl diphosphate + H2O => dolichyl phosphate + H(+) + phosphate;dolichyl phosphate + H(+) + phosphate => dolichyl diphosphate + H2O"
163	"Rh164"	"Transaldolase NQM1 (EC 2.2.1.2) (Non-quiescent mutant protein 1)"	"Sedoheptulose 7-phosphate  + D-Glyceraldehyde 3-phosphate <=> D-Erythrose 4-phosphate  + beta-D-Fructose 6-phosphate"	"R01827"	"sedoheptulose 7-phosphate + glyceraldehyde 3-phosphate <=> D-erythrose 4-phosphate + beta-D-Fructose 6-phosphate"	"YGR043C"	"2.2.1.2"	"Pentose phosphate pathway"	1	"NA"	"Add new reaction;"	"sce00030  pentose phosphate pathway"	"rhea:17053"	"NA"	NA	"MNXR104715"	"1 `D-erythrose 4-phosphate` + 1 `beta-D-fructose 6-phosphate` = 1 `D-sedoheptulose 7-phosphate` + 1 `D-glyceraldehyde 3-phosphate`"	"true"	"1 MNXM258@MNXD1 + 1 MNXM89621@MNXD1 = 1 MNXM271@MNXD1 + 1 MNXM74@MNXD1"	"D-glyceraldehyde 3-phosphate + D-sedoheptulose 7-phosphate => beta-D-fructose 6-phosphate + D-erythrose 4-phosphate;beta-D-fructose 6-phosphate + D-erythrose 4-phosphate => D-glyceraldehyde 3-phosphate + D-sedoheptulose 7-phosphate"
164	"Rh165"	"Phosphatidate cytidylyltransferase, mitochondrial (EC 2.7.7.41) (CDP-diacylglycerol synthase) (CDP-DAG synthase) (Mitochondrial import protein MMP37) (Mitochondrial matrix protein of 37 kDa) (Mitochondrial translocator assembly and maintenance protein 41)"	"CTP  + phosphatidate = diphosphate  + CDP-diacylglycerol"	"R01799"	"CTP + phosphatidate <=> diphosphate + CDP-diacylglycerol"	"YGR046W"	"2.7.7.41"	"Glycerophospholipid metabolism"	1	"based on database;"	"Add new reaction;"	"sce00564  glycerophospholipid metabolism"	"rhea:16229"	"NA"	NA	"MNXR107177"	"1 `diphosphate` + 1 `a CDP-1,2-diacyl-sn-glycerol` = 1 `H(+)` + 1 `CTP` + 1 `a 1,2-diacyl-sn-glycero-3-phosphate`"	"true"	"1 MNXM11@MNXD1 + 1 MNXM201@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM63@MNXD1 + 1 MNXM96054@MNXD1"	"a 1,2-diacyl-sn-glycero-3-phosphate + CTP + H(+) => a CDP-1,2-diacyl-sn-glycerol + diphosphate;a CDP-1,2-diacyl-sn-glycerol + diphosphate => a 1,2-diacyl-sn-glycero-3-phosphate + CTP + H(+)"
165	"Rh166"	"Thiamine thiazole synthase (Thiazole biosynthetic enzyme)"	"NAD(+) + Glycine  + Sulfur donor <=> ADP-5-ethyl-4-methylthiazole-2-carboxylate  + Nicotinamide  + 3 H2O"	"R10685"	"NAD + L-glycine + Sulfur donor <=> ADP-5-ethyl-4-methylthiazole-2-carboxylate + nicotinamide + 3 H2O"	"YGR144W"	"NA"	"Thiamine metabolism"	1	"NA"	"Add new reaction;"	"sce00730  thiamine metabolism"	"rhea:55708"	"NA"	"MNXR114005"	"MNXR114005"	"1 `glycine` + 1 `Sulfur donor` + 1 `NAD(+)` = 3 `H2O` + 1 `nicotinamide` + 1 `ADP-5-ethyl-4-methylthiazole-2-carboxylate`"	"NA"	"1 MNXM29@MNXD1 + 1 MNXM4111@MNXD1 + 1 MNXM8@MNXD1 = 3 MNXM2@MNXD1 + 1 MNXM216@MNXD1 + 1 MNXM37826@MNXD1"	NA
166	"Rh167"	"Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase (EC 2.4.1.256) (Alpha-1,2-glucosyltransferase ALG10-A) (Alpha-2-glucosyltransferase ALG10) (Asparagine-linked glycosylation protein 10) (Dolichyl-phosphoglucose-dependent glucosyltransferase ALG10)"	"Dolichyl D-glucosyl phosphate  + G10599 <=> Dolichyl phosphate  + G00008"	"R06264"	"Dolichyl beta-D-glucosyl phosphate + G10599 <=> dolichyl phosphate + G00008"	"YGR227W"	"2.4.1.256"	"N-Glycan biosynthesis"	1	"NA"	"Add new reaction;"	"sce00510  n-glycan biosynthesis"	"rhea:29543"	"NA"	"MNXR110098"	"MNXR121817"	"1 `alpha-D-Glc-(1->3)-alpha-D-Glc-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol` + 1 `dolichyl beta-D-glucosyl phosphate` = 1 `H(+)` + 1 `alpha-D-Glc-(1->2)-alpha-D-Glc-(1->3)-alpha-D-Glc-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol` + 1 `dolichyl phosphate`"	"true"	"1 MNXM11182@MNXD1 + 1 MNXM145615@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM147398@MNXD1 + 1 MNXM278@MNXD1"	"alpha-D-Glc-(1->3)-alpha-D-Glc-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol + dolichyl beta-D-glucosyl phosphate => alpha-D-Glc-(1->2)-alpha-D-Glc-(1->3)-alpha-D-Glc-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol + dolichyl phosphate + H(+);alpha-D-Glc-(1->2)-alpha-D-Glc-(1->3)-alpha-D-Glc-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol + dolichyl phosphate + H(+) => alpha-D-Glc-(1->3)-alpha-D-Glc-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol + dolichyl beta-D-glucosyl phosphate"
167	"Rh168"	"Flavohemoprotein (EC 1.14.12.17) (Flavohemoglobin) (Hemoglobin-like protein) (Nitric oxide dioxygenase) (NO oxygenase) (NOD)"	"2 nitric oxide  + 2 O2  + NAD(P)H <=> 2 nitrate  + NAD(P) +  + H(+)"	"R05725"	"2 nitric oxide + 2 oxygen + NAD(P)H <=> 2 nitrate + NAD(P) + H+"	"YGR234W"	"1.14.12.17"	"Nitrogen Metabolism"	1	"NA"	"Add new reaction;"	"sce00910  nitrogen metabolism"	"rhea:19465"	"NA"	NA	"MNXR101997"	"1 `H(+)` + 2 `nitrate` + 1 `NADP(+)` = 2 `nitric oxide` + 2 `O2` + 1 `NADPH`"	"true"	"1 MNXM1@MNXD1 + 2 MNXM207@MNXD1 + 1 MNXM5@MNXD1 = 2 MNXM228@MNXD1 + 2 MNXM4@MNXD1 + 1 MNXM6@MNXD1"	"NADPH + 2 nitric oxide + 2 O2 => H(+) + NADP(+) + 2 nitrate;H(+) + NADP(+) + 2 nitrate => NADPH + 2 nitric oxide + 2 O2"
169	"Rh170"	"Putative lipoate-protein ligase A (EC 6.3.1.20) (Altered inheritance rate of mitochondria protein 22)"	"ATP  + (R)-Lipoate <=> Diphosphate  + Lipoyl-AMP"	"R07770"	"ATP + (R)-Lipoate -> diphosphate + Lipoyl-AMP"	"YJL046W"	"6.3.1.20"	"Lipoic acid metabolism"	0	"Based on yeastGEM;"	"Add new reaction;"	"sce00785  lipoic acid metabolism"	"rhea:12913"	"NA"	NA	"MNXR101081"	"1 `diphosphate` + 1 `(R)-lipoyl-AMP` = 1 `H(+)` + 1 `(R)-lipoate` + 1 `ATP`"	"true"	"1 MNXM11@MNXD1 + 1 MNXM2392@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM1484@MNXD1 + 1 MNXM3@MNXD1"	"(R)-lipoate + ATP + H(+) => (R)-lipoyl-AMP + diphosphate;(R)-lipoyl-AMP + diphosphate => (R)-lipoate + ATP + H(+)"
170	"Rh171"	"Putative lipoate-protein ligase A (EC 6.3.1.20) (Altered inheritance rate of mitochondria protein 22)"	"Lipoyl-AMP  + Apoprotein <=> Protein N6-(lipoyl)lysine  + AMP"	"R07771"	"Lipoyl-AMP + Apoprotein <=> Protein N6-(lipoyl)lysine + AMP"	"YJL046W"	"6.3.1.20"	"Lipoic acid metabolism"	1	"NA"	"Add new reaction;"	"sce00785  lipoic acid metabolism"	"rhea:20473"	"NA"	NA	"MNXR126044"	"2 `H(+)` + 1 `AMP` + 1 `(R)-N(6)-lipoyl-L-lysine residue` = 1 `(R)-lipoyl-AMP` + 1 `L-lysine residue`"	"true"	"2 MNXM1@MNXD1 + 1 MNXM14@MNXD1 + 1 MNXM145553@MNXD1 = 1 MNXM2392@MNXD1 + 1 MNXM59465@MNXD1"	"(R)-lipoyl-AMP + [lipoyl-carrier protein]-L-lysine => [lipoyl-carrier protein]-(R)-N(6)-lipoyl-L-lysine + AMP + 2 H(+);[lipoyl-carrier protein]-(R)-N(6)-lipoyl-L-lysine + AMP + 2 H(+) => (R)-lipoyl-AMP + [lipoyl-carrier protein]-L-lysine"
171	"Rh172"	"Putative lipoate-protein ligase A (EC 6.3.1.20) (Altered inheritance rate of mitochondria protein 22)"	"ATP  + (R)-Lipoate  + Apoprotein <=> Protein N6-(lipoyl)lysine  + AMP  + Diphosphate"	"R11143"	"ATP + (R)-Lipoate + Apoprotein -> Protein N6-(lipoyl)lysine + AMP + diphosphate"	"YJL046W"	"6.3.1.20"	"Lipoic acid metabolism"	0	"Based on yeastGEM;"	"Add new reaction;"	"sce00785  lipoic acid metabolism"	"rhea:49288"	"NA"	"MNXR114442"	"MNXR114442"	"1 `diphosphate` + 1 `AMP` + 1 `Protein N6-(lipoyl)lysine` = 1 `(R)-lipoate` + 1 `ATP` + 1 `apoprotein`"	"NA"	"1 MNXM11@MNXD1 + 1 MNXM14@MNXD1 + 1 MNXM96070@MNXD1 = 1 MNXM1484@MNXD1 + 1 MNXM3@MNXD1 + 1 MNXM91491@MNXD1"	"(R)-lipoate + [lipoyl-carrier protein]-L-lysine + ATP => [lipoyl-carrier protein]-(R)-N(6)-lipoyl-L-lysine + AMP + diphosphate + H(+);[lipoyl-carrier protein]-(R)-N(6)-lipoyl-L-lysine + AMP + diphosphate + H(+) => (R)-lipoate + [lipoyl-carrier protein]-L-lysine + ATP"
172	"Rh173"	"GPI ethanolamine phosphate transferase 2 (EC 2.-.-.-) (Glycosylphosphatidylinositol-anchor biosynthesis protein 7) (Local anestheticum-sensitive protein 21)"	"Phosphatidylethanolamine  + G00141 <=> 1,2-Diacyl-sn-glycerol  + G00151"	"R05924"	"phosphatidylethanolamine + G00141 <=> 1,2-Diacyl-sn-glycerol + G00151"	"YJL062W"	"2.-.-.-"	"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	1	"NA"	"Add new reaction;"	"sce00563  glycosylphosphatidylinositol (gpi)-anchor biosynthesis"	"NA"	"NA"	"MNXR109948"	"MNXR109948"	"1 `phosphatidylethanolamine` + 1 `G00141` = 1 `G00151` + 1 `a 1,2-diacyl-sn-glycerol`"	"NA"	"1 MNXM115@MNXD1 + 1 MNXM9331@MNXD1 = 1 MNXM13363@MNXD1 + 1 MNXM59@MNXD1"	NA
175	"Rh176"	"Homocitrate dehydratase, mitochondrial (EC 4.2.1.-) (Aconitase 2)"	"(R)-2-hydroxybutane-1,2,4-tricarboxylate <=> (Z)-but-1-ene-1,2,4-tricarboxylate  + H2O"	"R03444"	"homocitrate <=> but-1-ene-1,2,4-tricarboxylic acid + H2O"	"YJL200C"	"4.2.1.-"	"Lysine metabolism; Citrate cycle (TCA cycle)"	1	"NA"	"Only merge the gene;"	"lysine metabolism;sce00020  citrate cycle (tca cycle)"	"rhea:26101"	"NA"	NA	"MNXR108174"	"1 `homocitrate(3-)` = 1 `H2O` + 1 `cis-homoaconitate`"	"true"	"1 MNXM1056@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM920@MNXD1"	"(2R)-homocitrate => cis-homoaconitate + H2O;cis-homoaconitate + H2O => (2R)-homocitrate"
176	"Rh177"	"Homocitrate dehydratase, mitochondrial (EC 4.2.1.-) (Aconitase 2)"	"citrate <=> isocitrate"	"R01324"	"citrate <=> isocitrate"	"YJL200C"	"4.2.1.-"	"Lysine metabolism; Citrate cycle (TCA cycle)"	1	"NA"	"Add new reaction;"	"lysine metabolism;sce00020  citrate cycle (tca cycle)"	"rhea:10336"	"NA"	NA	"MNXR95384"	"1 `citrate` = 1 `isocitrate`"	"true"	"1 MNXM131@MNXD1 = 1 MNXM89661@MNXD1"	"citrate => isocitrate;isocitrate => citrate"
178	"Rh179"	"Fumarate reductase 2 (FRDS2) (EC 1.3.1.6) (NADH-dependent fumarate reductase) (Osmotic sensitivity protein 1) (Soluble fumarate reductase, mitochondrial isozyme)"	"succinate  + NAD(+)<=> fumarate  + NADH  + H(+)"	"R00402"	"succinate + NAD <=> fumarate + NADH + H+"	"YJR051W"	"1.3.1.6"	"Carbon fixation pathways in prokaryotes"	1	"NA"	"Add new reaction;"	"sce00720  carbon fixation pathways in prokaryotes"	"rhea:18281"	"NA"	NA	"MNXR106516"	"1 `H(+)` + 1 `NADH` + 1 `fumarate` = 1 `succinate` + 1 `NAD(+)`"	"true"	"1 MNXM1@MNXD1 + 1 MNXM10@MNXD1 + 1 MNXM93@MNXD1 = 1 MNXM25@MNXD1 + 1 MNXM8@MNXD1"	"NAD(+) + succinate => fumarate + H(+) + NADH;fumarate + H(+) + NADH => NAD(+) + succinate"
179	"Rh180"	"Inosine triphosphate pyrophosphatase (ITPase) (Inosine triphosphatase) (EC 3.6.1.9) (Hydroxylaminopurine sensitivity protein 1) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)"	"dUTP  + H2O => diphosphate  + dUMP  + H(+)"	"R02100"	"dUTP + H2O -> diphosphate + dUMP + H+"	"YJR069C"	"3.6.1.9"	"Purine metabolism"	0	"Based on yeastGEM;"	"Only merge the gene;"	"sce00230  purine metabolism"	"rhea:10248"	"NA"	NA	"MNXR97822"	"1 `H(+)` + 1 `diphosphate` + 1 `dUMP` = 1 `H2O` + 1 `dUTP`"	"true"	"1 MNXM1@MNXD1 + 1 MNXM11@MNXD1 + 1 MNXM234@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM452@MNXD1"	"dUTP + H2O => diphosphate + dUMP + H(+);diphosphate + dUMP + H(+) => dUTP + H2O"
180	"Rh181"	"Inosine triphosphate pyrophosphatase (ITPase) (Inosine triphosphatase) (EC 3.6.1.9) (Hydroxylaminopurine sensitivity protein 1) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)"	"a ribonucleoside 5'-triphosphate  + H2O => a ribonucleoside 5'-phosphate  + diphosphate  + H(+)"	"R01532"	"a ribonucleoside 5'-triphosphate + H2O -> a ribonucleoside 5'-phosphate + diphosphate + H+"	"YJR069C"	"3.6.1.9"	"Purine metabolism"	0	"Based on yeastGEM;"	"Add new reaction;"	"sce00230  purine metabolism"	"rhea:23996"	"NA"	NA	"MNXR116099"	"1 `H(+)` + 1 `diphosphate` + 1 `a ribonucleoside 5'-phosphate` = 1 `H2O` + 1 `a ribonucleoside 5'-triphosphate`"	"true"	"1 MNXM1@MNXD1 + 1 MNXM11@MNXD1 + 1 MNXM80910@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM96380@MNXD1"	"a ribonucleoside 5'-triphosphate + H2O => a ribonucleoside 5'-phosphate + diphosphate + H(+);a ribonucleoside 5'-phosphate + diphosphate + H(+) => a ribonucleoside 5'-triphosphate + H2O"
182	"Rh183"	"Inosine triphosphate pyrophosphatase (ITPase) (Inosine triphosphatase) (EC 3.6.1.9) (Hydroxylaminopurine sensitivity protein 1) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)"	"dGTP  + H2O => dGMP  + diphosphate  + H(+)"	"R01855"	"dGTP + H2O -> dGMP + diphosphate + H+"	"YJR069C"	"3.6.1.9"	"Purine metabolism"	0	"Based on yeastGEM;"	"Add new reaction;"	"sce00230  purine metabolism"	"rhea:28362"	"NA"	NA	"MNXR102049"	"1 `H(+)` + 1 `diphosphate` + 1 `dGMP` = 1 `H2O` + 1 `dGTP`"	"true"	"1 MNXM1@MNXD1 + 1 MNXM11@MNXD1 + 1 MNXM546@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM344@MNXD1"	"dGTP + H2O => dGMP + diphosphate + H(+);dGMP + diphosphate + H(+) => dGTP + H2O"
184	"Rh185"	"Inosine triphosphate pyrophosphatase (ITPase) (Inosine triphosphatase) (EC 3.6.1.9) (Hydroxylaminopurine sensitivity protein 1) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)"	"a 2'-deoxyribonucleoside 5'-triphosphate  + H2O => a 2'-deoxyribonucleoside 5'-phosphate  + diphosphate  + H(+)"	"3.6.1.19-RXN"	"a 2'-deoxyribonucleoside 5'-triphosphate + H2O <=> a 2'-deoxyribonucleoside 5'-phosphate + diphosphate + H+"	"YJR069C"	"3.6.1.9"	"Purine metabolism"	1	"based database;"	"Add new reaction;"	"sce00230  purine metabolism"	"rhea:23996"	"RHEA:23996"	NA	"MNXR116099"	"1 `H(+)` + 1 `diphosphate` + 1 `a ribonucleoside 5'-phosphate` = 1 `H2O` + 1 `a ribonucleoside 5'-triphosphate`"	"true"	"1 MNXM1@MNXD1 + 1 MNXM11@MNXD1 + 1 MNXM80910@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM96380@MNXD1"	"a ribonucleoside 5'-triphosphate + H2O => a ribonucleoside 5'-phosphate + diphosphate + H(+);a ribonucleoside 5'-phosphate + diphosphate + H(+) => a ribonucleoside 5'-triphosphate + H2O"
