"ID"	"Abbreviation"	"Description"	"Reaction"	"Description_new"	"GPR"	"Subsystem_new"	"Lower bound"	"Upper bound"	"Objective"	"Notes"	"EC Number"	"KEGG ID"
2250	"r_3413"	"inositolphosphotransferase (PI (1-16:1, 2-16:1) MIPC-D (C24))"	"s_1141[g] + s_3362[gm]  -> s_0886[g] + s_3000[gm]"	"mannosylinositol phosphorylceramide D (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:1, 2-16:1)[gm]  -> inositol phosphomannosylinositol phosphoceramide D (C24)[g] + diglyceride (1-16:1, 2-16:1)[gm]"	"YDR072C"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9368028"	"2.-.-.-"	"NA"
2251	"r_3414"	"inositolphosphotransferase (PI (1-18:0, 2-16:1) MIPC-D (C24))"	"s_1141[g] + s_3364[gm]  -> s_0886[g] + s_3004[gm]"	"mannosylinositol phosphorylceramide D (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:0, 2-16:1)[gm]  -> inositol phosphomannosylinositol phosphoceramide D (C24)[g] + diglyceride (1-18:0, 2-16:1)[gm]"	"YDR072C"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9368028"	"2.-.-.-"	"NA"
2252	"r_3415"	"inositolphosphotransferase (PI (1-18:1, 2-16:1) MIPC-D (C24))"	"s_1141[g] + s_3366[gm]  -> s_0886[g] + s_3008[gm]"	"mannosylinositol phosphorylceramide D (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:1, 2-16:1)[gm]  -> inositol phosphomannosylinositol phosphoceramide D (C24)[g] + diglyceride (1-18:1, 2-16:1)[gm]"	"YDR072C"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9368028"	"2.-.-.-"	"NA"
2253	"r_3416"	"inositolphosphotransferase (PI (1-16:0, 2-18:1) MIPC-D (C24))"	"s_1141[g] + s_3368[gm]  -> s_0886[g] + s_2998[gm]"	"mannosylinositol phosphorylceramide D (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:0, 2-18:1)[gm]  -> inositol phosphomannosylinositol phosphoceramide D (C24)[g] + diglyceride (1-16:0, 2-18:1)[gm]"	"YDR072C"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9368028"	"2.-.-.-"	"NA"
2254	"r_3417"	"inositolphosphotransferase (PI (1-16:1, 2-18:1) MIPC-D (C24))"	"s_1141[g] + s_3370[gm]  -> s_0886[g] + s_3002[gm]"	"mannosylinositol phosphorylceramide D (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:1, 2-18:1)[gm]  -> inositol phosphomannosylinositol phosphoceramide D (C24)[g] + diglyceride (1-16:1, 2-18:1)[gm]"	"YDR072C"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9368028"	"2.-.-.-"	"NA"
2255	"r_3418"	"inositolphosphotransferase (PI (1-18:0, 2-18:1) MIPC-D (C24))"	"s_1141[g] + s_3372[gm]  -> s_0886[g] + s_3006[gm]"	"mannosylinositol phosphorylceramide D (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:0, 2-18:1)[gm]  -> inositol phosphomannosylinositol phosphoceramide D (C24)[g] + diglyceride (1-18:0, 2-18:1)[gm]"	"YDR072C"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9368028"	"2.-.-.-"	"NA"
2256	"r_3419"	"inositolphosphotransferase (PI (1-18:1, 2-18:1) MIPC-D (C24))"	"s_1141[g] + s_3374[gm]  -> s_0886[g] + s_3010[gm]"	"mannosylinositol phosphorylceramide D (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:1, 2-18:1)[gm]  -> inositol phosphomannosylinositol phosphoceramide D (C24)[g] + diglyceride (1-18:1, 2-18:1)[gm]"	"YDR072C"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9368028"	"2.-.-.-"	"NA"
2257	"r_3420"	"inositolphosphotransferase (PI (1-16:0, 2-16:1) MIPC-D (C26))"	"s_1144[g] + s_3358[gm]  -> s_0889[g] + s_2996[gm]"	"mannosylinositol phosphorylceramide D (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:0, 2-16:1)[gm]  -> inositol phosphomannosylinositol phosphoceramide D (C26)[g] + diglyceride (1-16:0, 2-16:1)[gm]"	"YDR072C"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9368028"	"2.-.-.-"	"NA"
2258	"r_3421"	"inositolphosphotransferase (PI (1-16:1, 2-16:1) MIPC-D (C26))"	"s_1144[g] + s_3362[gm]  -> s_0889[g] + s_3000[gm]"	"mannosylinositol phosphorylceramide D (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:1, 2-16:1)[gm]  -> inositol phosphomannosylinositol phosphoceramide D (C26)[g] + diglyceride (1-16:1, 2-16:1)[gm]"	"YDR072C"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9368028"	"2.-.-.-"	"NA"
2259	"r_3422"	"inositolphosphotransferase (PI (1-18:0, 2-16:1) MIPC-D (C26))"	"s_1144[g] + s_3364[gm]  -> s_0889[g] + s_3004[gm]"	"mannosylinositol phosphorylceramide D (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:0, 2-16:1)[gm]  -> inositol phosphomannosylinositol phosphoceramide D (C26)[g] + diglyceride (1-18:0, 2-16:1)[gm]"	"YDR072C"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9368028"	"2.-.-.-"	"NA"
2260	"r_3423"	"inositolphosphotransferase (PI (1-18:1, 2-16:1) MIPC-D (C26))"	"s_1144[g] + s_3366[gm]  -> s_0889[g] + s_3008[gm]"	"mannosylinositol phosphorylceramide D (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:1, 2-16:1)[gm]  -> inositol phosphomannosylinositol phosphoceramide D (C26)[g] + diglyceride (1-18:1, 2-16:1)[gm]"	"YDR072C"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9368028"	"2.-.-.-"	"NA"
2261	"r_3424"	"inositolphosphotransferase (PI (1-16:0, 2-18:1) MIPC-D (C26))"	"s_1144[g] + s_3368[gm]  -> s_0889[g] + s_2998[gm]"	"mannosylinositol phosphorylceramide D (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:0, 2-18:1)[gm]  -> inositol phosphomannosylinositol phosphoceramide D (C26)[g] + diglyceride (1-16:0, 2-18:1)[gm]"	"YDR072C"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9368028"	"2.-.-.-"	"NA"
2262	"r_3425"	"inositolphosphotransferase (PI (1-16:1, 2-18:1) MIPC-D (C26))"	"s_1144[g] + s_3370[gm]  -> s_0889[g] + s_3002[gm]"	"mannosylinositol phosphorylceramide D (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:1, 2-18:1)[gm]  -> inositol phosphomannosylinositol phosphoceramide D (C26)[g] + diglyceride (1-16:1, 2-18:1)[gm]"	"YDR072C"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9368028"	"2.-.-.-"	"NA"
2263	"r_3426"	"inositolphosphotransferase (PI (1-18:0, 2-18:1) MIPC-D (C26))"	"s_1144[g] + s_3372[gm]  -> s_0889[g] + s_3006[gm]"	"mannosylinositol phosphorylceramide D (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:0, 2-18:1)[gm]  -> inositol phosphomannosylinositol phosphoceramide D (C26)[g] + diglyceride (1-18:0, 2-18:1)[gm]"	"YDR072C"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9368028"	"2.-.-.-"	"NA"
2264	"r_3427"	"inositolphosphotransferase (PI (1-18:1, 2-18:1) MIPC-D (C26))"	"s_1144[g] + s_3374[gm]  -> s_0889[g] + s_3010[gm]"	"mannosylinositol phosphorylceramide D (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:1, 2-18:1)[gm]  -> inositol phosphomannosylinositol phosphoceramide D (C26)[g] + diglyceride (1-18:1, 2-18:1)[gm]"	"YDR072C"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9368028"	"2.-.-.-"	"NA"
2265	"r_3428"	"IPC synthase (PI (1-16:0, 2-16:1) ceramide-1 (C24))"	"s_0476[g] + s_3358[gm]  -> s_0895[g] + s_2996[gm]"	"ceramide-1 (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:0, 2-16:1)[gm]  -> inositol-P-ceramide A (C24)[g] + diglyceride (1-16:0, 2-16:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2266	"r_3429"	"IPC synthase (PI (1-16:1, 2-16:1) ceramide-1 (C24))"	"s_0476[g] + s_3362[gm]  -> s_0895[g] + s_3000[gm]"	"ceramide-1 (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:1, 2-16:1)[gm]  -> inositol-P-ceramide A (C24)[g] + diglyceride (1-16:1, 2-16:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2267	"r_3430"	"IPC synthase (PI (1-18:0, 2-16:1) ceramide-1 (C24))"	"s_0476[g] + s_3364[gm]  -> s_0895[g] + s_3004[gm]"	"ceramide-1 (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:0, 2-16:1)[gm]  -> inositol-P-ceramide A (C24)[g] + diglyceride (1-18:0, 2-16:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2268	"r_3431"	"IPC synthase (PI (1-18:1, 2-16:1) ceramide-1 (C24))"	"s_0476[g] + s_3366[gm]  -> s_0895[g] + s_3008[gm]"	"ceramide-1 (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:1, 2-16:1)[gm]  -> inositol-P-ceramide A (C24)[g] + diglyceride (1-18:1, 2-16:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2269	"r_3432"	"IPC synthase (PI (1-16:0, 2-18:1) ceramide-1 (C24))"	"s_0476[g] + s_3368[gm]  -> s_0895[g] + s_2998[gm]"	"ceramide-1 (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:0, 2-18:1)[gm]  -> inositol-P-ceramide A (C24)[g] + diglyceride (1-16:0, 2-18:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2270	"r_3433"	"IPC synthase (PI (1-16:1, 2-18:1) ceramide-1 (C24))"	"s_0476[g] + s_3370[gm]  -> s_0895[g] + s_3002[gm]"	"ceramide-1 (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:1, 2-18:1)[gm]  -> inositol-P-ceramide A (C24)[g] + diglyceride (1-16:1, 2-18:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2271	"r_3434"	"IPC synthase (PI (1-18:0, 2-18:1) ceramide-1 (C24))"	"s_0476[g] + s_3372[gm]  -> s_0895[g] + s_3006[gm]"	"ceramide-1 (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:0, 2-18:1)[gm]  -> inositol-P-ceramide A (C24)[g] + diglyceride (1-18:0, 2-18:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2272	"r_3435"	"IPC synthase (PI (1-18:1, 2-18:1) ceramide-1 (C24))"	"s_0476[g] + s_3374[gm]  -> s_0895[g] + s_3010[gm]"	"ceramide-1 (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:1, 2-18:1)[gm]  -> inositol-P-ceramide A (C24)[g] + diglyceride (1-18:1, 2-18:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2273	"r_3436"	"IPC synthase (PI (1-16:0, 2-16:1) ceramide-1 (C26))"	"s_0479[g] + s_3358[gm]  -> s_0898[g] + s_2996[gm]"	"ceramide-1 (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:0, 2-16:1)[gm]  -> inositol-P-ceramide A (C26)[g] + diglyceride (1-16:0, 2-16:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2274	"r_3437"	"IPC synthase (PI (1-16:1, 2-16:1) ceramide-1 (C26))"	"s_0479[g] + s_3362[gm]  -> s_0898[g] + s_3000[gm]"	"ceramide-1 (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:1, 2-16:1)[gm]  -> inositol-P-ceramide A (C26)[g] + diglyceride (1-16:1, 2-16:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2275	"r_3438"	"IPC synthase (PI (1-18:0, 2-16:1) ceramide-1 (C26))"	"s_0479[g] + s_3364[gm]  -> s_0898[g] + s_3004[gm]"	"ceramide-1 (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:0, 2-16:1)[gm]  -> inositol-P-ceramide A (C26)[g] + diglyceride (1-18:0, 2-16:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2276	"r_3439"	"IPC synthase (PI (1-18:1, 2-16:1) ceramide-1 (C26))"	"s_0479[g] + s_3366[gm]  -> s_0898[g] + s_3008[gm]"	"ceramide-1 (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:1, 2-16:1)[gm]  -> inositol-P-ceramide A (C26)[g] + diglyceride (1-18:1, 2-16:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2277	"r_3440"	"IPC synthase (PI (1-16:0, 2-18:1) ceramide-1 (C26))"	"s_0479[g] + s_3368[gm]  -> s_0898[g] + s_2998[gm]"	"ceramide-1 (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:0, 2-18:1)[gm]  -> inositol-P-ceramide A (C26)[g] + diglyceride (1-16:0, 2-18:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2278	"r_3441"	"IPC synthase (PI (1-16:1, 2-18:1) ceramide-1 (C26))"	"s_0479[g] + s_3370[gm]  -> s_0898[g] + s_3002[gm]"	"ceramide-1 (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:1, 2-18:1)[gm]  -> inositol-P-ceramide A (C26)[g] + diglyceride (1-16:1, 2-18:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2279	"r_3442"	"IPC synthase (PI (1-18:0, 2-18:1) ceramide-1 (C26))"	"s_0479[g] + s_3372[gm]  -> s_0898[g] + s_3006[gm]"	"ceramide-1 (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:0, 2-18:1)[gm]  -> inositol-P-ceramide A (C26)[g] + diglyceride (1-18:0, 2-18:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2280	"r_3443"	"IPC synthase (PI (1-18:1, 2-18:1) ceramide-1 (C26))"	"s_0479[g] + s_3374[gm]  -> s_0898[g] + s_3010[gm]"	"ceramide-1 (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:1, 2-18:1)[gm]  -> inositol-P-ceramide A (C26)[g] + diglyceride (1-18:1, 2-18:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2281	"r_3444"	"IPC synthase (PI (1-16:0, 2-16:1) ceramide-2' (C24))"	"s_0488[g] + s_3358[gm]  -> s_0907[g] + s_2996[gm]"	"ceramide-2' (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:0, 2-16:1)[gm]  -> inositol-P-ceramide B' (C24)[g] + diglyceride (1-16:0, 2-16:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2282	"r_3445"	"IPC synthase (PI (1-16:1, 2-16:1) ceramide-2' (C24))"	"s_0488[g] + s_3362[gm]  -> s_0907[g] + s_3000[gm]"	"ceramide-2' (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:1, 2-16:1)[gm]  -> inositol-P-ceramide B' (C24)[g] + diglyceride (1-16:1, 2-16:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2283	"r_3446"	"IPC synthase (PI (1-18:0, 2-16:1) ceramide-2' (C24))"	"s_0488[g] + s_3364[gm]  -> s_0907[g] + s_3004[gm]"	"ceramide-2' (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:0, 2-16:1)[gm]  -> inositol-P-ceramide B' (C24)[g] + diglyceride (1-18:0, 2-16:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2284	"r_3447"	"IPC synthase (PI (1-18:1, 2-16:1) ceramide-2' (C24))"	"s_0488[g] + s_3366[gm]  -> s_0907[g] + s_3008[gm]"	"ceramide-2' (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:1, 2-16:1)[gm]  -> inositol-P-ceramide B' (C24)[g] + diglyceride (1-18:1, 2-16:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2285	"r_3448"	"IPC synthase (PI (1-16:0, 2-18:1) ceramide-2' (C24))"	"s_0488[g] + s_3368[gm]  -> s_0907[g] + s_2998[gm]"	"ceramide-2' (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:0, 2-18:1)[gm]  -> inositol-P-ceramide B' (C24)[g] + diglyceride (1-16:0, 2-18:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2286	"r_3449"	"IPC synthase (PI (1-16:1, 2-18:1) ceramide-2' (C24))"	"s_0488[g] + s_3370[gm]  -> s_0907[g] + s_3002[gm]"	"ceramide-2' (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:1, 2-18:1)[gm]  -> inositol-P-ceramide B' (C24)[g] + diglyceride (1-16:1, 2-18:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2287	"r_3450"	"IPC synthase (PI (1-18:0, 2-18:1) ceramide-2' (C24))"	"s_0488[g] + s_3372[gm]  -> s_0907[g] + s_3006[gm]"	"ceramide-2' (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:0, 2-18:1)[gm]  -> inositol-P-ceramide B' (C24)[g] + diglyceride (1-18:0, 2-18:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2288	"r_3451"	"IPC synthase (PI (1-18:1, 2-18:1) ceramide-2' (C24))"	"s_0488[g] + s_3374[gm]  -> s_0907[g] + s_3010[gm]"	"ceramide-2' (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:1, 2-18:1)[gm]  -> inositol-P-ceramide B' (C24)[g] + diglyceride (1-18:1, 2-18:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2289	"r_3452"	"IPC synthase (PI (1-16:0, 2-16:1) ceramide-2' (C26))"	"s_0491[g] + s_3358[gm]  -> s_0910[g] + s_2996[gm]"	"ceramide-2' (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:0, 2-16:1)[gm]  -> inositol-P-ceramide B' (C26)[g] + diglyceride (1-16:0, 2-16:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2290	"r_3453"	"IPC synthase (PI (1-16:1, 2-16:1) ceramide-2' (C26))"	"s_0491[g] + s_3362[gm]  -> s_0910[g] + s_3000[gm]"	"ceramide-2' (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:1, 2-16:1)[gm]  -> inositol-P-ceramide B' (C26)[g] + diglyceride (1-16:1, 2-16:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2291	"r_3454"	"IPC synthase (PI (1-18:0, 2-16:1) ceramide-2' (C26))"	"s_0491[g] + s_3364[gm]  -> s_0910[g] + s_3004[gm]"	"ceramide-2' (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:0, 2-16:1)[gm]  -> inositol-P-ceramide B' (C26)[g] + diglyceride (1-18:0, 2-16:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2292	"r_3455"	"IPC synthase (PI (1-18:1, 2-16:1) ceramide-2' (C26))"	"s_0491[g] + s_3366[gm]  -> s_0910[g] + s_3008[gm]"	"ceramide-2' (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:1, 2-16:1)[gm]  -> inositol-P-ceramide B' (C26)[g] + diglyceride (1-18:1, 2-16:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2293	"r_3456"	"IPC synthase (PI (1-16:0, 2-18:1) ceramide-2' (C26))"	"s_0491[g] + s_3368[gm]  -> s_0910[g] + s_2998[gm]"	"ceramide-2' (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:0, 2-18:1)[gm]  -> inositol-P-ceramide B' (C26)[g] + diglyceride (1-16:0, 2-18:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2294	"r_3457"	"IPC synthase (PI (1-16:1, 2-18:1) ceramide-2' (C26))"	"s_0491[g] + s_3370[gm]  -> s_0910[g] + s_3002[gm]"	"ceramide-2' (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:1, 2-18:1)[gm]  -> inositol-P-ceramide B' (C26)[g] + diglyceride (1-16:1, 2-18:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2295	"r_3458"	"IPC synthase (PI (1-18:0, 2-18:1) ceramide-2' (C26))"	"s_0491[g] + s_3372[gm]  -> s_0910[g] + s_3006[gm]"	"ceramide-2' (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:0, 2-18:1)[gm]  -> inositol-P-ceramide B' (C26)[g] + diglyceride (1-18:0, 2-18:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2296	"r_3459"	"IPC synthase (PI (1-18:1, 2-18:1) ceramide-2' (C26))"	"s_0491[g] + s_3374[gm]  -> s_0910[g] + s_3010[gm]"	"ceramide-2' (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:1, 2-18:1)[gm]  -> inositol-P-ceramide B' (C26)[g] + diglyceride (1-18:1, 2-18:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2297	"r_3460"	"IPC synthase (PI (1-16:0, 2-16:1) ceramide-2 (C24))"	"s_0482[g] + s_3358[gm]  -> s_0901[g] + s_2996[gm]"	"ceramide-2 (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:0, 2-16:1)[gm]  -> inositol-P-ceramide B (C24)[g] + diglyceride (1-16:0, 2-16:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2298	"r_3461"	"IPC synthase (PI (1-16:1, 2-16:1) ceramide-2 (C24))"	"s_0482[g] + s_3362[gm]  -> s_0901[g] + s_3000[gm]"	"ceramide-2 (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:1, 2-16:1)[gm]  -> inositol-P-ceramide B (C24)[g] + diglyceride (1-16:1, 2-16:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2299	"r_3462"	"IPC synthase (PI (1-18:0, 2-16:1) ceramide-2 (C24))"	"s_0482[g] + s_3364[gm]  -> s_0901[g] + s_3004[gm]"	"ceramide-2 (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:0, 2-16:1)[gm]  -> inositol-P-ceramide B (C24)[g] + diglyceride (1-18:0, 2-16:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2300	"r_3463"	"IPC synthase (PI (1-18:1, 2-16:1) ceramide-2 (C24))"	"s_0482[g] + s_3366[gm]  -> s_0901[g] + s_3008[gm]"	"ceramide-2 (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:1, 2-16:1)[gm]  -> inositol-P-ceramide B (C24)[g] + diglyceride (1-18:1, 2-16:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2301	"r_3464"	"IPC synthase (PI (1-16:0, 2-18:1) ceramide-2 (C24))"	"s_0482[g] + s_3368[gm]  -> s_0901[g] + s_2998[gm]"	"ceramide-2 (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:0, 2-18:1)[gm]  -> inositol-P-ceramide B (C24)[g] + diglyceride (1-16:0, 2-18:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2302	"r_3465"	"IPC synthase (PI (1-16:1, 2-18:1) ceramide-2 (C24))"	"s_0482[g] + s_3370[gm]  -> s_0901[g] + s_3002[gm]"	"ceramide-2 (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:1, 2-18:1)[gm]  -> inositol-P-ceramide B (C24)[g] + diglyceride (1-16:1, 2-18:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
