"Abbreviation"	"Description"	"Reaction"	"Description_new"	"GPR"	"Lower bound"	"Upper bound"	"Objective"	"EC Number"	"References"	"KEGG ID"	"Subsystem_new"	"Subsystem_early_version"	"system_consistence"	"reaction_early_version"	"subsystem_consistence"	"reaction_consistence"
"r_1665"	"bicarbonate formation"	"s_0461[n] + s_0808[n]  <=> s_0448[n] + s_0800[n]"	"       "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"other"	"other"	TRUE	"carbon dioxide[n] + H2O[n]  <=> bicarbonate[n] + H+[n]"	TRUE	FALSE
"r_1667"	"bicarbonate formation"	"s_0456[c] + s_0803[c]  <=> s_0445[c] + s_0794[c]"	"       "	"YNL036W"	"-1000"	"1000"	"0"	NA	NA	NA	"other"	"other"	TRUE	"carbon dioxide[c] + H2O[c]  <=> bicarbonate[c] + H+[c]"	TRUE	FALSE
"r_1668"	"bicarbonate formation"	"s_0458[e] + s_0805[e]  <=> s_0446[e] + s_0796[e]"	"       "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"other"	"other"	TRUE	"carbon dioxide[e] + H2O[e]  <=> bicarbonate[e] + H+[e]"	TRUE	FALSE
"r_1669"	"bicarbonate transport"	"s_0445[c]  <=> s_0448[n]"	"   "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, nucleus]"	"transport [cytoplasm, nucleus]"	TRUE	"bicarbonate[c]  <=> bicarbonate[n]"	TRUE	FALSE
"r_1671"	"biotin exchange"	"s_0452[e]  ->"	"  "	NA	"0"	"1000"	"0"	NA	NA	NA	"exchange reaction"	"exchange reaction"	TRUE	"biotin[e]  ->"	TRUE	FALSE
"r_1672"	"carbon dioxide exchange"	"s_0458[e]  ->"	"  "	NA	"0"	"1000"	"0"	NA	NA	NA	"exchange reaction"	"exchange reaction"	TRUE	"carbon dioxide[e]  ->"	TRUE	FALSE
"r_1673"	"carnitine transport"	"s_0021[c]  -> s_0024[p]"	"   "	NA	"0"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, peroxisome]"	"transport [cytoplasm, peroxisome]"	TRUE	"(R)-carnitine[c]  -> (R)-carnitine[p]"	TRUE	FALSE
"r_1674"	"carnitine-acetylcarnitine carrier"	"s_0021[c] + s_1237[p]  -> s_0024[p] + s_1235[c]"	"       "	NA	"0"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, peroxisome]"	"transport [cytoplasm, peroxisome]"	TRUE	"(R)-carnitine[c] + O-acetylcarnitine[p]  -> (R)-carnitine[p] + O-acetylcarnitine[c]"	TRUE	FALSE
"r_1675"	"CDP transport"	"s_0467[c]  <=> s_0468[n]"	"   "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, nucleus]"	"transport [cytoplasm, nucleus]"	TRUE	"CDP[c]  <=> CDP[n]"	TRUE	FALSE
"r_1676"	"ceramide transport"	"s_0476[g]  <=> s_0475[er]"	"   "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [endoplasmic_reticulum, golgi]"	"transport [endoplasmic_reticulum, golgi]"	TRUE	"ceramide-1 (C24)[g]  <=> ceramide-1 (C24)[er]"	TRUE	FALSE
"r_1677"	"ceramide transport"	"s_0482[g]  <=> s_0481[er]"	"   "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [endoplasmic_reticulum, golgi]"	"transport [endoplasmic_reticulum, golgi]"	TRUE	"ceramide-2 (C24)[g]  <=> ceramide-2 (C24)[er]"	TRUE	FALSE
"r_1678"	"ceramide transport"	"s_0500[g]  <=> s_0499[er]"	"   "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [endoplasmic_reticulum, golgi]"	"transport [endoplasmic_reticulum, golgi]"	TRUE	"ceramide-4 (C24)[g]  <=> ceramide-4 (C24)[er]"	TRUE	FALSE
"r_1679"	"ceramide transport"	"s_0479[g]  <=> s_0478[er]"	"   "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [endoplasmic_reticulum, golgi]"	"transport [endoplasmic_reticulum, golgi]"	TRUE	"ceramide-1 (C26)[g]  <=> ceramide-1 (C26)[er]"	TRUE	FALSE
"r_1680"	"ceramide transport"	"s_0485[g]  <=> s_0484[er]"	"   "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [endoplasmic_reticulum, golgi]"	"transport [endoplasmic_reticulum, golgi]"	TRUE	"ceramide-2 (C26)[g]  <=> ceramide-2 (C26)[er]"	TRUE	FALSE
"r_1681"	"ceramide transport"	"s_0503[g]  <=> s_0502[er]"	"   "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [endoplasmic_reticulum, golgi]"	"transport [endoplasmic_reticulum, golgi]"	TRUE	"ceramide-4 (C26)[g]  <=> ceramide-4 (C26)[er]"	TRUE	FALSE
"r_1682"	"cholestenol delta-isomerase, lumped reaction"	"s_1275[c] + s_1416[c] + s_1569[c]  -> s_0662[c] + s_0794[c] + 2 s_0803[c] + s_1413[c]"	"              "	NA	"0"	"1000"	"0"	NA	NA	NA	"steroid biosynthesis ( sce00100 )"	"steroid biosynthesis ( sce00100 )"	TRUE	"oxygen[c] + S-adenosyl-L-methionine[c] + zymosterol[c]  -> ergosta-5,7,22,24(28)-tetraen-3beta-ol[c] + H+[c] + 2 H2O[c] + S-adenosyl-L-homocysteine[c]"	TRUE	FALSE
"r_1683"	"choline exchange"	"s_0513[e]  ->"	"  "	NA	"0"	"1000"	"0"	NA	NA	NA	"exchange reaction"	"exchange reaction"	TRUE	"choline[e]  ->"	TRUE	FALSE
"r_1684"	"choline transport"	"s_0511[ce]  <=> s_0512[c]"	"   "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, cell_envelope]"	"transport [cytoplasm, cell_envelope]"	TRUE	"choline[ce]  <=> choline[c]"	TRUE	FALSE
"r_1685"	"chorismate pyruvate lyase"	"s_0515[c]  -> s_0286[c] + s_1399[c]"	"     "	NA	"0"	"1000"	"0"	NA	NA	NA	"ubiquinone and other terpenoid-quinone biosynthesis ( sce00130 )"	"ubiquinone and other terpenoid-quinone biosynthesis ( sce00130 )"	TRUE	"chorismate[c]  -> 4-hydroxybenzoate[c] + pyruvate[c]"	TRUE	FALSE
"r_1686"	"citrate transport"	"s_0523[e]  <=> s_0522[c]"	"   "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, extracellular]"	"transport [cytoplasm, extracellular]"	TRUE	"citrate[e]  <=> citrate[c]"	TRUE	FALSE
"r_1687"	"citrate exchange"	"s_0523[e]  ->"	"  "	NA	"0"	"1000"	"0"	NA	NA	NA	"exchange reaction"	"exchange reaction"	TRUE	"citrate[e]  ->"	TRUE	FALSE
"r_1688"	"citrate/isocitrate antiport"	"s_0522[c] + s_0942[p]  <=> s_0525[p] + s_0940[c]"	"       "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, peroxisome]"	"transport [cytoplasm, peroxisome]"	TRUE	"citrate[c] + isocitrate[p]  <=> citrate[p] + isocitrate[c]"	TRUE	FALSE
"r_1689"	"citrate/malate antiport"	"s_0066[c] + s_0525[p]  <=> s_0069[p] + s_0522[c]"	"       "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, peroxisome]"	"transport [cytoplasm, peroxisome]"	TRUE	"(S)-malate[c] + citrate[p]  <=> (S)-malate[p] + citrate[c]"	TRUE	FALSE
"r_1690"	"CMP nucleosidase"	"s_0526[c] + s_0803[c]  -> s_0545[c] + s_1408[c]"	"       "	NA	"0"	"1000"	"0"	NA	NA	NA	"pyrimidine metabolism ( sce00240 )"	"pyrimidine metabolism ( sce00240 )"	TRUE	"CMP[c] + H2O[c]  -> cytosine[c] + ribose-5-phosphate[c]"	TRUE	FALSE
"r_1691"	"CO2 transport"	"s_0456[c]  <=> s_0457[er]"	"   "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, endoplasmic_reticulum]"	"transport [cytoplasm, endoplasmic_reticulum]"	TRUE	"carbon dioxide[c]  <=> carbon dioxide[er]"	TRUE	FALSE
"r_1694"	"CO2 transport"	"s_0461[n]  <=> s_0456[c]"	"   "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, nucleus]"	"transport [cytoplasm, nucleus]"	TRUE	"carbon dioxide[n]  <=> carbon dioxide[c]"	TRUE	FALSE
"r_1695"	"CO2 transport"	"s_0456[c]  <=> s_0462[p]"	"   "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, peroxisome]"	"transport [cytoplasm, peroxisome]"	TRUE	"carbon dioxide[c]  <=> carbon dioxide[p]"	TRUE	FALSE
"r_1696"	"CO2 transport"	"s_0456[c]  <=> s_0460[m]"	"   "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, mitochondrion]"	"transport [cytoplasm, mitochondrion]"	TRUE	"carbon dioxide[c]  <=> carbon dioxide[m]"	TRUE	FALSE
"r_1697"	"CO2 transport"	"s_0456[c]  <=> s_0458[e]"	"   "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, extracellular]"	"transport [cytoplasm, extracellular]"	TRUE	"carbon dioxide[c]  <=> carbon dioxide[e]"	TRUE	FALSE
"r_1698"	"coenzyme A transport"	"s_0529[c]  <=> s_0530[er]"	"   "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, endoplasmic_reticulum]"	"transport [cytoplasm, endoplasmic_reticulum]"	TRUE	"coenzyme A[c]  <=> coenzyme A[er]"	TRUE	FALSE
"r_1699"	"coenzyme A transport"	"s_0529[c]  <=> s_0533[n]"	"   "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, nucleus]"	"transport [cytoplasm, nucleus]"	TRUE	"coenzyme A[c]  <=> coenzyme A[n]"	TRUE	FALSE
"r_1700"	"coenzyme A transport"	"s_0534[p]  <=> s_0529[c]"	"   "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, peroxisome]"	"transport [cytoplasm, peroxisome]"	TRUE	"coenzyme A[p]  <=> coenzyme A[c]"	TRUE	FALSE
"r_1702"	"cytidine exchange"	"s_0544[e]  ->"	"  "	NA	"0"	"1000"	"0"	NA	NA	NA	"exchange reaction"	"exchange reaction"	TRUE	"cytidine[e]  ->"	TRUE	FALSE
"r_1703"	"cytidylate kinase (CMP)"	"s_0434[c] + s_0526[c]  -> s_0394[c] + s_0467[c]"	"       "	NA	"0"	"1000"	"0"	NA	NA	NA	"pyrimidine metabolism ( sce00240 )"	"pyrimidine metabolism ( sce00240 )"	TRUE	"ATP[c] + CMP[c]  -> ADP[c] + CDP[c]"	TRUE	FALSE
"r_1704"	"cytidylate kinase (dCMP)"	"s_0434[c] + s_0589[c]  <=> s_0394[c] + s_0587[c]"	"       "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"pyrimidine metabolism ( sce00240 )"	"pyrimidine metabolism ( sce00240 )"	TRUE	"ATP[c] + dCMP[c]  <=> ADP[c] + dCDP[c]"	TRUE	FALSE
"r_1705"	"cytosine exchange"	"s_0546[e]  ->"	"  "	NA	"0"	"1000"	"0"	NA	NA	NA	"exchange reaction"	"exchange reaction"	TRUE	"cytosine[e]  ->"	TRUE	FALSE
"r_1706"	"D-arabinose exchange"	"s_0549[e]  ->"	"  "	NA	"0"	"1000"	"0"	NA	NA	NA	"exchange reaction"	"exchange reaction"	TRUE	"D-arabinose[e]  ->"	TRUE	FALSE
"r_1707"	"D-arabinose transport"	"s_0549[e]  <=> s_0548[c]"	"   "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, extracellular]"	"transport [cytoplasm, extracellular]"	TRUE	"D-arabinose[e]  <=> D-arabinose[c]"	TRUE	FALSE
"r_1708"	"D-erythrose 4-phosphate transport"	"s_0551[c]  <=> s_0552[m]"	"   "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, mitochondrion]"	"transport [cytoplasm, mitochondrion]"	TRUE	"D-erythrose 4-phosphate[c]  <=> D-erythrose 4-phosphate[m]"	TRUE	FALSE
"r_1709"	"D-fructose exchange"	"s_0554[e]  ->"	"  "	NA	"0"	"1000"	"0"	NA	NA	NA	"exchange reaction"	"exchange reaction"	TRUE	"D-fructose[e]  ->"	TRUE	FALSE
"r_1710"	"D-galactose exchange"	"s_0559[e]  ->"	"  "	NA	"0"	"1000"	"0"	NA	NA	NA	"exchange reaction"	"exchange reaction"	TRUE	"D-galactose[e]  ->"	TRUE	FALSE
"r_1711"	"D-galacturonate exchange"	"s_0560[e]  ->"	"  "	NA	"0"	"1000"	"0"	NA	NA	NA	"exchange reaction"	"exchange reaction"	TRUE	"D-galacturonate[e]  ->"	TRUE	FALSE
"r_1712"	"D-glucitol exchange"	"s_0562[e]  ->"	"  "	NA	"0"	"1000"	"0"	NA	NA	NA	"exchange reaction"	"exchange reaction"	TRUE	"D-glucitol[e]  ->"	TRUE	FALSE
"r_1713"	"D-glucosamine 6-phosphate uniport"	"s_0413[e]  <=> s_0412[c]"	"   "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, extracellular]"	"transport [cytoplasm, extracellular]"	TRUE	"alpha-D-glucosamine 6-phosphate[e]  <=> alpha-D-glucosamine 6-phosphate[c]"	TRUE	FALSE
"r_1714"	"D-glucose exchange"	"s_0565[e]  <=>"	"  "	NA	"-1"	"1000"	"0"	NA	NA	NA	"exchange reaction"	"exchange reaction"	TRUE	"D-glucose[e]  <=>"	TRUE	FALSE
"r_1715"	"D-mannose exchange"	"s_0572[e]  ->"	"  "	NA	"0"	"1000"	"0"	NA	NA	NA	"exchange reaction"	"exchange reaction"	TRUE	"D-mannose[e]  ->"	TRUE	FALSE
"r_1716"	"D-ribose exchange"	"s_0576[e]  ->"	"  "	NA	"0"	"1000"	"0"	NA	NA	NA	"exchange reaction"	"exchange reaction"	TRUE	"D-ribose[e]  ->"	TRUE	FALSE
"r_1717"	"D-sorbitol transport"	"s_0562[e]  <=> s_0561[c]"	"   "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, extracellular]"	"transport [cytoplasm, extracellular]"	TRUE	"D-glucitol[e]  <=> D-glucitol[c]"	TRUE	FALSE
"r_1718"	"D-xylose exchange"	"s_0579[e]  ->"	"  "	NA	"0"	"1000"	"0"	NA	NA	NA	"exchange reaction"	"exchange reaction"	TRUE	"D-xylose[e]  ->"	TRUE	FALSE
"r_1719"	"D-xylose transport"	"s_0579[e]  <=> s_0578[c]"	"   "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, extracellular]"	"transport [cytoplasm, extracellular]"	TRUE	"D-xylose[e]  <=> D-xylose[c]"	TRUE	FALSE
"r_1720"	"dADP transport"	"s_0582[c]  <=> s_0583[n]"	"   "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, nucleus]"	"transport [cytoplasm, nucleus]"	TRUE	"dADP[c]  <=> dADP[n]"	TRUE	FALSE
"r_1721"	"dCDP transport"	"s_0587[c]  <=> s_0588[n]"	"   "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, nucleus]"	"transport [cytoplasm, nucleus]"	TRUE	"dCDP[c]  <=> dCDP[n]"	TRUE	FALSE
"r_1722"	"ATP deamination"	"s_0434[c] + s_0794[c] + s_0803[c]  -> s_0419[c] + s_0950[c]"	"         "	NA	"0"	"1000"	"0"	NA	NA	NA	"purine metabolism ( sce00230 )"	"purine metabolism ( sce00230 )"	TRUE	"ATP[c] + H+[c] + H2O[c]  -> ammonium[c] + ITP[c]"	TRUE	FALSE
"r_1723"	"dATP deamination"	"s_0586[c] + s_0794[c] + s_0803[c]  -> s_0419[c] + s_0639[c]"	"         "	NA	"0"	"1000"	"0"	NA	NA	NA	"purine metabolism ( sce00230 )"	"purine metabolism ( sce00230 )"	TRUE	"dATP[c] + H+[c] + H2O[c]  -> ammonium[c] + dITP[c]"	TRUE	FALSE
"r_1724"	"ADP deamination"	"s_0394[c] + s_0794[c] + s_0803[c]  -> s_0419[c] + s_0846[c]"	"         "	NA	"0"	"1000"	"0"	NA	NA	NA	"purine metabolism ( sce00230 )"	"purine metabolism ( sce00230 )"	TRUE	"ADP[c] + H+[c] + H2O[c]  -> ammonium[c] + IDP[c]"	TRUE	FALSE
"r_1725"	"dADP deamination"	"s_0582[c] + s_0794[c] + s_0803[c]  -> s_0419[c] + s_0618[c]"	"         "	NA	"0"	"1000"	"0"	NA	NA	NA	"purine metabolism ( sce00230 )"	"purine metabolism ( sce00230 )"	TRUE	"dADP[c] + H+[c] + H2O[c]  -> ammonium[c] + dIDP[c]"	TRUE	FALSE
"r_1726"	"deamino-NAD+ diffusion"	"s_0591[c]  <=> s_0593[n]"	"   "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, nucleus]"	"transport [cytoplasm, nucleus]"	TRUE	"deamido-NAD(+)[c]  <=> deamido-NAD(+)[n]"	TRUE	FALSE
"r_1727"	"decanoate exchange"	"s_0597[e]  ->"	"  "	NA	"0"	"1000"	"0"	NA	NA	NA	"exchange reaction"	"exchange reaction"	TRUE	"decanoate[e]  ->"	TRUE	FALSE
"r_1728"	"deoxyadenosine transport"	"s_0133[e]  -> s_0132[c]"	"   "	NA	"0"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, extracellular]"	"transport [cytoplasm, extracellular]"	TRUE	"2'-deoxyadenosine[e]  -> 2'-deoxyadenosine[c]"	TRUE	FALSE
"r_1729"	"deoxyadenylate kinase"	"s_0434[c] + s_0584[c]  <=> s_0394[c] + s_0582[c]"	"       "	"YDL166C"	"-1000"	"1000"	"0"	NA	NA	NA	"purine metabolism ( sce00230 )"	"purine metabolism ( sce00230 )"	TRUE	"ATP[c] + dAMP[c]  <=> ADP[c] + dADP[c]"	TRUE	FALSE
"r_1730"	"deoxycytidine exchange"	"s_0611[e]  ->"	"  "	NA	"0"	"1000"	"0"	NA	NA	NA	"exchange reaction"	"exchange reaction"	TRUE	"deoxycytidine[e]  ->"	TRUE	FALSE
"r_1731"	"deoxycytidine transport"	"s_0611[e]  -> s_0610[c]"	"   "	NA	"0"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, extracellular]"	"transport [cytoplasm, extracellular]"	TRUE	"deoxycytidine[e]  -> deoxycytidine[c]"	TRUE	FALSE
"r_1732"	"deoxyguanosine transport"	"s_0135[e]  -> s_0134[c]"	"   "	NA	"0"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, extracellular]"	"transport [cytoplasm, extracellular]"	TRUE	"2'-deoxyguanosine[e]  -> 2'-deoxyguanosine[c]"	TRUE	FALSE
"r_1733"	"deoxyinosine transport"	"s_0137[e]  -> s_0136[c]"	"   "	NA	"0"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, extracellular]"	"transport [cytoplasm, extracellular]"	TRUE	"2'-deoxyinosine[e]  -> 2'-deoxyinosine[c]"	TRUE	FALSE
"r_1734"	"deoxyuridine kinase (ATP:deoxyuridine)"	"s_0138[c] + s_0434[c]  -> s_0394[c] + s_0654[c] + s_0794[c]"	"         "	NA	"0"	"1000"	"0"	NA	NA	NA	"pyrimidine metabolism ( sce00240 )"	"pyrimidine metabolism ( sce00240 )"	TRUE	"2'-deoxyuridine[c] + ATP[c]  -> ADP[c] + dUMP[c] + H+[c]"	TRUE	FALSE
"r_1735"	"deoxyuridine transport"	"s_0139[e]  -> s_0138[c]"	"   "	NA	"0"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, extracellular]"	"transport [cytoplasm, extracellular]"	TRUE	"2'-deoxyuridine[e]  -> 2'-deoxyuridine[c]"	TRUE	FALSE
"r_1736"	"dephospho-CoA kinase"	"s_0197[c] + s_0434[c]  -> s_0394[c] + s_0529[c] + s_0794[c]"	"         "	NA	"0"	"1000"	"0"	NA	NA	NA	"pantothenate and coa biosynthesis ( sce00770 )"	"pantothenate and coa biosynthesis ( sce00770 )"	TRUE	"3'-dephospho-CoA[c] + ATP[c]  -> ADP[c] + coenzyme A[c] + H+[c]"	TRUE	FALSE
"r_1737"	"dGDP transport"	"s_0613[c]  <=> s_0614[n]"	"   "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, nucleus]"	"transport [cytoplasm, nucleus]"	TRUE	"dGDP[c]  <=> dGDP[n]"	TRUE	FALSE
"r_1738"	"dhnpt transport"	"s_0343[c]  <=> s_0344[m]"	"   "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, mitochondrion]"	"transport [cytoplasm, mitochondrion]"	TRUE	"7,8-dihydroneopterin[c]  <=> 7,8-dihydroneopterin[m]"	TRUE	FALSE
"r_1739"	"diamine transaminase"	"s_0373[c] + s_1442[c]  -> s_0529[c] + s_0794[c] + s_1181[c]"	"         "	"YDR071C"	"0"	"1000"	"0"	NA	NA	NA	"arginine and proline metabolism ( sce00330 )"	"arginine and proline metabolism ( sce00330 )"	TRUE	"acetyl-CoA[c] + spermine[c]  -> coenzyme A[c] + H+[c] + N(1)-acetylspermine[c]"	TRUE	FALSE
"r_1743"	"dihydrofolate transport"	"s_0625[c]  <=> s_0626[m]"	"   "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, mitochondrion]"	"transport [cytoplasm, mitochondrion]"	TRUE	"dihydrofolic acid[c]  <=> dihydrofolic acid[m]"	TRUE	FALSE
"r_1744"	"dihydroneopterin triphosphate pyrophosphatase"	"s_0346[c] + s_0803[c]  -> s_0345[c] + s_0633[c] + s_0794[c]"	"         "	NA	"0"	"1000"	"0"	NA	NA	NA	"folate biosynthesis ( sce00790 )"	"folate biosynthesis ( sce00790 )"	TRUE	"7,8-dihydroneopterin 3'-triphosphate[c] + H2O[c]  -> 7,8-dihydroneopterin 3'-phosphate[c] + diphosphate[c] + H+[c]"	TRUE	FALSE
"r_1745"	"dihydropteroate transport"	"s_0347[c]  <=> s_0348[m]"	"   "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, mitochondrion]"	"transport [cytoplasm, mitochondrion]"	TRUE	"7,8-dihydropteroate[c]  <=> 7,8-dihydropteroate[m]"	TRUE	FALSE
"r_1746"	"dihydroxyacetone phosphate transport"	"s_0632[m]  <=> s_0629[c]"	"   "	NA	"-1000"	"1000"	"0"	NA	"22672422"	NA	"transport [cytoplasm, mitochondrion]"	"transport [cytoplasm, mitochondrion]"	TRUE	"dihydroxyacetone phosphate[m]  <=> dihydroxyacetone phosphate[c]"	TRUE	FALSE
"r_1747"	"diphosphate transport"	"s_0633[c]  <=> s_0638[p]"	"   "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, peroxisome]"	"transport [cytoplasm, peroxisome]"	TRUE	"diphosphate[c]  <=> diphosphate[p]"	TRUE	FALSE
"r_1748"	"dolichol phosphate transport"	"s_0645[c]  <=> s_0646[er]"	"   "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, endoplasmic_reticulum]"	"transport [cytoplasm, endoplasmic_reticulum]"	TRUE	"dolichyl phosphate[c]  <=> dolichyl phosphate[er]"	TRUE	FALSE
"r_1749"	"dTTP exchange"	"s_0651[e]  ->"	"  "	NA	"0"	"1000"	"0"	NA	NA	NA	"exchange reaction"	"exchange reaction"	TRUE	"dTTP[e]  ->"	TRUE	FALSE
"r_1750"	"dTTP uniport"	"s_0651[e]  <=> s_0650[c]"	"   "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, extracellular]"	"transport [cytoplasm, extracellular]"	TRUE	"dTTP[e]  <=> dTTP[c]"	TRUE	FALSE
"r_1751"	"dUDP diffusion"	"s_0652[c]  <=> s_0653[n]"	"   "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, nucleus]"	"transport [cytoplasm, nucleus]"	TRUE	"dUDP[c]  <=> dUDP[n]"	TRUE	FALSE
"r_1752"	"dUMP transport"	"s_0654[c]  <=> s_0655[n]"	"   "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, nucleus]"	"transport [cytoplasm, nucleus]"	TRUE	"dUMP[c]  <=> dUMP[n]"	TRUE	FALSE
"r_1753"	"episterol exchange"	"s_0659[e]  ->"	"  "	NA	"0"	"1000"	"0"	NA	NA	NA	"exchange reaction"	"exchange reaction"	TRUE	"episterol[e]  ->"	TRUE	FALSE
"r_1754"	"ergosta-5,6,22,24,(28)-tetraen-3beta-ol transport"	"s_0662[c]  <=> s_0663[er]"	"   "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, endoplasmic_reticulum]"	"transport [cytoplasm, endoplasmic_reticulum]"	TRUE	"ergosta-5,7,22,24(28)-tetraen-3beta-ol[c]  <=> ergosta-5,7,22,24(28)-tetraen-3beta-ol[er]"	TRUE	FALSE
"r_1757"	"ergosterol exchange"	"s_0668[e]  ->"	"  "	NA	"0"	"1000"	"0"	NA	NA	NA	"exchange reaction"	"exchange reaction"	TRUE	"ergosterol[e]  ->"	TRUE	FALSE
"r_1758"	"ergosterol transport"	"s_0667[er]  <=> s_0666[c]"	"   "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, endoplasmic_reticulum]"	"transport [cytoplasm, endoplasmic_reticulum]"	TRUE	"ergosterol[er]  <=> ergosterol[c]"	TRUE	FALSE
"r_1759"	"ergosterol transport"	"s_0666[c]  <=> s_0669[lp]"	"   "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, lipid_particle]"	"transport [cytoplasm, lipid_particle]"	TRUE	"ergosterol[c]  <=> ergosterol[lp]"	TRUE	FALSE
"r_1760"	"ergosterol transport"	"s_0666[c]  <=> s_0665[ce]"	"   "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, cell_envelope]"	"transport [cytoplasm, cell_envelope]"	TRUE	"ergosterol[c]  <=> ergosterol[ce]"	TRUE	FALSE
"r_1761"	"ethanol exchange"	"s_0681[e]  ->"	"  "	NA	"0"	"1000"	"0"	NA	NA	NA	"exchange reaction"	"exchange reaction"	TRUE	"ethanol[e]  ->"	TRUE	FALSE
"r_1762"	"ethanol transport"	"s_0680[c]  <=> s_0681[e]"	"   "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, extracellular]"	"transport [cytoplasm, extracellular]"	TRUE	"ethanol[c]  <=> ethanol[e]"	TRUE	FALSE
"r_1763"	"ethanol transport, mitochondrial"	"s_0680[c]  <=> s_0682[m]"	"   "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, mitochondrion]"	"transport [cytoplasm, mitochondrion]"	TRUE	"ethanol[c]  <=> ethanol[m]"	TRUE	FALSE
"r_1764"	"ethanolamine exchange"	"s_0684[e]  ->"	"  "	NA	"0"	"1000"	"0"	NA	NA	NA	"exchange reaction"	"exchange reaction"	TRUE	"ethanolamine[e]  ->"	TRUE	FALSE
"r_1765"	"ethyl acetate exchange"	"s_0686[e]  ->"	"  "	NA	"0"	"1000"	"0"	NA	NA	NA	"exchange reaction"	"exchange reaction"	TRUE	"ethyl acetate[e]  ->"	TRUE	FALSE
"r_1766"	"farnesyl diphosphate transport"	"s_0190[c]  <=> s_0191[m]"	"   "	NA	"-1000"	"1000"	"0"	NA	NA	NA	"transport [cytoplasm, mitochondrion]"	"transport [cytoplasm, mitochondrion]"	TRUE	"farnesyl diphosphate[c]  <=> farnesyl diphosphate[m]"	TRUE	FALSE
