Abbreviation	Subsystem_new	Removed duplicated subsystems and evidences for the choosed subystem
r_3472	sphingoglycolipid metabolism	ito980
r_3473	sphingoglycolipid metabolism	ito980
r_3474	sphingoglycolipid metabolism	ito980
r_3475	sphingoglycolipid metabolism	ito980
r_3476	sphingoglycolipid metabolism	ito980
r_3477	sphingoglycolipid metabolism	ito980
r_3478	sphingoglycolipid metabolism	ito980
r_3479	sphingoglycolipid metabolism	ito980
r_3480	sphingoglycolipid metabolism	ito980
r_3481	sphingoglycolipid metabolism	ito980
r_3482	sphingoglycolipid metabolism	ito980
r_3483	sphingoglycolipid metabolism	ito980
r_3484	sphingoglycolipid metabolism	ito980
r_3485	sphingoglycolipid metabolism	ito980
r_3486	sphingoglycolipid metabolism	ito980
r_3487	sphingoglycolipid metabolism	ito980
r_3488	sphingoglycolipid metabolism	ito980
r_3489	sphingoglycolipid metabolism	ito980
r_3490	sphingoglycolipid metabolism	ito980
r_3491	sphingoglycolipid metabolism	ito980
r_3492	sphingoglycolipid metabolism	ito980
r_3493	sphingoglycolipid metabolism	ito980
r_3494	sphingoglycolipid metabolism	ito980
r_3495	sphingoglycolipid metabolism	ito980
r_3496	sphingoglycolipid metabolism	ito980
r_3497	sphingoglycolipid metabolism	ito980
r_3498	sphingoglycolipid metabolism	ito980
r_3499	sphingoglycolipid metabolism	ito980
r_3500	sphingoglycolipid metabolism	ito980
r_3501	sphingoglycolipid metabolism	ito980
r_3502	sphingoglycolipid metabolism	ito980
r_3503	sphingoglycolipid metabolism	ito980
r_3504	sphingoglycolipid metabolism	ito980
r_3505	sphingoglycolipid metabolism	ito980
r_3506	sphingoglycolipid metabolism	ito980
r_3507	sphingoglycolipid metabolism	ito980
r_1357	isa reaction from yeast5	yeast5
r_1358	isa reaction from yeast5	yeast5
r_1359	isa reaction from yeast5	yeast5
r_1360	isa reaction from yeast5	yeast5
r_1361	isa reaction from yeast5	yeast5
r_1362	isa reaction from yeast5	yeast5
r_1363	isa reaction from yeast5	yeast5
r_1364	isa reaction from yeast5	yeast5
r_1365	isa reaction from yeast5	yeast5
r_1366	isa reaction from yeast5	yeast5
r_1367	isa reaction from yeast5	yeast5
r_1368	isa reaction from yeast5	yeast5
r_1369	isa reaction from yeast5	yeast5
r_1370	isa reaction from yeast5	yeast5
r_1371	isa reaction from yeast5	yeast5
r_1449	isa reaction from yeast5	yeast5
r_1450	isa reaction from yeast5	yeast5
r_1451	isa reaction from yeast5	yeast5
r_1452	isa reaction from yeast5	yeast5
r_1453	isa reaction from yeast5	yeast5
r_1454	isa reaction from yeast5	yeast5
r_1455	isa reaction from yeast5	yeast5
r_1456	isa reaction from yeast5	yeast5
r_1457	isa reaction from yeast5	yeast5
r_1458	isa reaction from yeast5	yeast5
r_1459	isa reaction from yeast5	yeast5
r_1460	isa reaction from yeast5	yeast5
r_1461	isa reaction from yeast5	yeast5
r_1462	isa reaction from yeast5	yeast5
r_1463	isa reaction from yeast5	yeast5
r_1464	isa reaction from yeast5	yeast5
r_1465	isa reaction from yeast5	yeast5
r_1466	isa reaction from yeast5	yeast5
r_1467	isa reaction from yeast5	yeast5
r_1468	isa reaction from yeast5	yeast5
r_1469	isa reaction from yeast5	yeast5
r_1470	isa reaction from yeast5	yeast5
r_1471	isa reaction from yeast5	yeast5
r_1472	isa reaction from yeast5	yeast5
r_1473	isa reaction from yeast5	yeast5
r_1474	isa reaction from yeast5	yeast5
r_1475	isa reaction from yeast5	yeast5
r_1476	isa reaction from yeast5	yeast5
r_1477	isa reaction from yeast5	yeast5
r_1478	isa reaction from yeast5	yeast5
r_1479	isa reaction from yeast5	yeast5
r_1480	isa reaction from yeast5	yeast5
r_1481	isa reaction from yeast5	yeast5
r_1482	isa reaction from yeast5	yeast5
r_1483	isa reaction from yeast5	yeast5
r_1484	isa reaction from yeast5	yeast5
r_1485	isa reaction from yeast5	yeast5
r_1486	isa reaction from yeast5	yeast5
r_1487	isa reaction from yeast5	yeast5
r_1488	isa reaction from yeast5	yeast5
r_1489	isa reaction from yeast5	yeast5
r_1490	isa reaction from yeast5	yeast5
r_1491	isa reaction from yeast5	yeast5
r_1492	isa reaction from yeast5	yeast5
r_1493	isa reaction from yeast5	yeast5
r_1494	isa reaction from yeast5	yeast5
r_1495	isa reaction from yeast5	yeast5
r_1496	isa reaction from yeast5	yeast5
r_1497	isa reaction from yeast5	yeast5
r_1498	isa reaction from yeast5	yeast5
r_1499	isa reaction from yeast5	yeast5
r_1500	isa reaction from yeast5	yeast5
r_1501	isa reaction from yeast5	yeast5
r_1502	isa reaction from yeast5	yeast5
r_1503	isa reaction from yeast5	yeast5
r_1504	isa reaction from yeast5	yeast5
r_1505	isa reaction from yeast5	yeast5
r_1506	isa reaction from yeast5	yeast5
r_1507	isa reaction from yeast5	yeast5
r_1508	isa reaction from yeast5	yeast5
r_1509	isa reaction from yeast5	yeast5
r_1510	isa reaction from yeast5	yeast5
r_1511	isa reaction from yeast5	yeast5
r_1512	isa reaction from yeast5	yeast5
r_1513	isa reaction from yeast5	yeast5
r_1514	isa reaction from yeast5	yeast5
r_1515	isa reaction from yeast5	yeast5
r_1516	isa reaction from yeast5	yeast5
r_1517	isa reaction from yeast5	yeast5
r_1518	isa reaction from yeast5	yeast5
r_1519	isa reaction from yeast5	yeast5
r_1520	isa reaction from yeast5	yeast5
r_1521	isa reaction from yeast5	yeast5
r_1522	isa reaction from yeast5	yeast5
r_1523	isa reaction from yeast5	yeast5
r_1524	isa reaction from yeast5	yeast5
r_1525	isa reaction from yeast5	yeast5
r_1526	isa reaction from yeast5	yeast5
r_1527	isa reaction from yeast5	yeast5
r_1528	isa reaction from yeast5	yeast5
r_1529	isa reaction from yeast5	yeast5
r_1530	isa reaction from yeast5	yeast5
r_1531	isa reaction from yeast5	yeast5
r_1532	isa reaction from yeast5	yeast5
r_1533	isa reaction from yeast5	yeast5
r_1534	isa reaction from yeast5	yeast5
r_1535	isa reaction from yeast5	yeast5
r_1536	isa reaction from yeast5	yeast5
r_1537	isa reaction from yeast5	yeast5
r_1538	isa reaction from yeast5	yeast5
r_3963	isa reaction from yeast5	yeast5
r_3964	isa reaction from yeast5	yeast5
r_3965	isa reaction from yeast5	yeast5
r_3966	isa reaction from yeast5	yeast5
r_3967	isa reaction from yeast5	yeast5
r_3968	isa reaction from yeast5	yeast5
r_3969	isa reaction from yeast5	yeast5
r_3970	isa reaction from yeast5	yeast5
r_3971	isa reaction from yeast5	yeast5
r_3972	isa reaction from yeast5	yeast5
r_3974	isa reaction from yeast5	yeast5
r_3975	isa reaction from yeast5	yeast5
r_3976	isa reaction from yeast5	yeast5
r_3977	isa reaction from yeast5	yeast5
r_3978	isa reaction from yeast5	yeast5
r_3979	isa reaction from yeast5	yeast5
r_3980	isa reaction from yeast5	yeast5
r_3981	isa reaction from yeast5	yeast5
r_3982	isa reaction from yeast5	yeast5
r_3983	isa reaction from yeast5	yeast5
r_3984	isa reaction from yeast5	yeast5
r_3985	isa reaction from yeast5	yeast5
r_3986	isa reaction from yeast5	yeast5
r_3988	isa reaction from yeast5	yeast5
r_3989	isa reaction from yeast5	yeast5
r_3990	isa reaction from yeast5	yeast5
r_3991	isa reaction from yeast5	yeast5
r_3992	isa reaction from yeast5	yeast5
r_3993	isa reaction from yeast5	yeast5
r_3994	isa reaction from yeast5	yeast5
r_3995	isa reaction from yeast5	yeast5
r_3997	isa reaction from yeast5	yeast5
r_3998	isa reaction from yeast5	yeast5
r_3999	isa reaction from yeast5	yeast5
r_4000	isa reaction from yeast5	yeast5
r_4001	isa reaction from yeast5	yeast5
r_4002	isa reaction from yeast5	yeast5
r_4003	isa reaction from yeast5	yeast5
r_4004	isa reaction from yeast5	yeast5
r_4006	isa reaction from yeast5	yeast5
r_4007	isa reaction from yeast5	yeast5
r_4008	isa reaction from yeast5	yeast5
r_4009	isa reaction from yeast5	yeast5
r_4010	isa reaction from yeast5	yeast5
r_4011	isa reaction from yeast5	yeast5
r_4012	isa reaction from yeast5	yeast5
r_4013	isa reaction from yeast5	yeast5
r_4014	isa reaction from yeast5	yeast5
r_4015	isa reaction from yeast5	yeast5
r_4016	isa reaction from yeast5	yeast5
r_4017	isa reaction from yeast5	yeast5
r_4018	isa reaction from yeast5	yeast5
r_4019	isa reaction from yeast5	yeast5
r_4020	isa reaction from yeast5	yeast5
r_4021	isa reaction from yeast5	yeast5
r_4022	isa reaction from yeast5	yeast5
r_4023	isa reaction from yeast5	yeast5
r_4024	isa reaction from yeast5	yeast5
r_4025	isa reaction from yeast5	yeast5
r_4026	isa reaction from yeast5	yeast5
r_4027	isa reaction from yeast5	yeast5
r_4028	isa reaction from yeast5	yeast5
r_4029	isa reaction from yeast5	yeast5
r_4030	isa reaction from yeast5	yeast5
r_4031	isa reaction from yeast5	yeast5
r_4032	isa reaction from yeast5	yeast5
r_4033	isa reaction from yeast5	yeast5
r_4034	isa reaction from yeast5	yeast5
r_4035	isa reaction from yeast5	yeast5
r_4036	isa reaction from yeast5	yeast5
r_4037	isa reaction from yeast5	yeast5
r_1542	exchange reaction	No change
r_1543	transport [cytoplasm, cell_envelope]	No change
r_1545	exchange reaction	No change
r_1546	exchange reaction	No change
r_1547	exchange reaction	No change
r_1548	exchange reaction	No change
r_1549	exchange reaction	No change
r_1550	exchange reaction	No change
r_1551	exchange reaction	No change
r_1552	exchange reaction	No change
r_1553	exchange reaction	No change
r_1554	exchange reaction	No change
r_1560	transport [cytoplasm, nucleus]	No change
r_1562	transport [cytoplasm, endoplasmic_reticulum]	No change
r_1563	exchange reaction	No change
r_1564	exchange reaction	No change
r_1565	exchange reaction	No change
r_1566	exchange reaction	No change
r_1567	transport [cytoplasm, mitochondrion]	No change
r_1568	transport [cytoplasm, mitochondrion]	No change
r_1572	exchange reaction	No change
r_1573	transport [cytoplasm, extracellular]	No change
r_1574	transport [cytoplasm, mitochondrion]	No change
r_1575	transport [cytoplasm, extracellular]	No change
r_1576	transport [cytoplasm, mitochondrion]	No change
r_1577	exchange reaction	No change
r_1578	transport [cytoplasm, extracellular]	No change
r_1579	transport [cytoplasm, mitochondrion]	No change
r_1580	exchange reaction	No change
r_1581	exchange reaction	No change
r_1582	transport [cytoplasm, extracellular]	No change
r_1583	transport [cytoplasm, mitochondrion]	No change
r_1585	transport [cytoplasm, mitochondrion]	No change
r_1586	exchange reaction	No change
r_1587	transport [cytoplasm, nucleus]	No change
r_1588	transport [cytoplasm, extracellular]	No change
r_1589	exchange reaction	No change
r_1590	transport [cytoplasm, extracellular]	No change
r_1591	transport [cytoplasm, mitochondrion]	No change
r_1595	transport [cytoplasm, mitochondrion]	No change
r_1596	transport [cytoplasm, mitochondrion]	No change
r_1597	transport [cytoplasm, extracellular]	No change
r_1598	exchange reaction	No change
r_1599	transport [cytoplasm, extracellular]	No change
r_1600	transport [cytoplasm, mitochondrion]	No change
r_1601	transport [cytoplasm, mitochondrion]	No change
r_1603	thiamine metabolism ( sce00730 )	imm904
r_1604	exchange reaction	No change
r_1605	transport [cytoplasm, extracellular]	No change
r_1606	transport [cytoplasm, mitochondrion]	No change
r_1607	transport [cytoplasm, mitochondrion]	No change
r_1608	transport [cytoplasm, mitochondrion]	No change
r_1609	transport [cytoplasm, mitochondrion]	No change
r_1610	transport [cytoplasm, peroxisome]	No change
r_1611	transport [cytoplasm, mitochondrion]	No change
r_1613	purine metabolism ( sce00230 )	kegg and MNX
r_1614	purine metabolism ( sce00230 )	kegg and MNX
r_1615	pyrimidine metabolism ( sce00240 )	kegg and MNX
r_1616	purine metabolism ( sce00230 )	kegg and MNX
r_1617	pyrimidine metabolism ( sce00240 )	kegg and MNX
r_1618	pyrimidine metabolism ( sce00240 )	kegg and MNX
r_1620	purine metabolism ( sce00230 )	kegg and MNX
r_1621	exchange reaction	No change
r_1622	transport [cytoplasm, mitochondrion]	No change
r_1623	one carbon pool by folate ( sce00670 )	kegg and imm904
r_1624	one carbon pool by folate ( sce00670 )	kegg and imm904
r_1625	exchange reaction	No change
r_1627	exchange reaction	No change
r_1628	transport [cytoplasm, extracellular]	No change
r_1629	exchange reaction	No change
r_1630	exchange reaction	No change
r_1631	exchange reaction	No change
r_1632	transport [cytoplasm, mitochondrion]	No change
r_1633	transport [cytoplasm, extracellular]	No change
r_1634	exchange reaction	No change
r_1635	transport [cytoplasm, nucleus]	No change
r_1637	transport [cytoplasm, nucleus]	No change
r_1638	transport [cytoplasm, peroxisome]	No change
r_1639	exchange reaction	No change
r_1640	transport [cytoplasm, mitochondrion]	No change
r_1641	exchange reaction	No change
r_1642	transport [cytoplasm, mitochondrion]	No change
r_1643	exchange reaction	No change
r_1644	transport [cytoplasm, nucleus]	No change
r_1645	transport [cytoplasm, endoplasmic_reticulum]	No change
r_1647	transport [cytoplasm, peroxisome]	No change
r_1648	exchange reaction	No change
r_1649	exchange reaction	No change
r_1650	exchange reaction	No change
r_1651	exchange reaction	No change
r_1652	transport [cytoplasm, extracellular]	No change
r_1654	exchange reaction	No change
r_1656	transport [cytoplasm, nucleus]	No change
r_1658	transport [cytoplasm, mitochondrion]	No change
r_1659	transport [cytoplasm, peroxisome]	No change
r_1660	transport [cytoplasm, nucleus]	No change
r_1661	transport [cytoplasm, endoplasmic_reticulum]	No change
r_1663	exchange reaction	No change
r_1664	other	can’t be found
r_1665	other	can’t be found
r_1667	other	can’t be found
r_1668	other	can’t be found
r_1669	transport [cytoplasm, nucleus]	No change
r_1671	exchange reaction	No change
r_1672	exchange reaction	No change
r_1673	transport [cytoplasm, peroxisome]	No change
r_1674	transport [cytoplasm, peroxisome]	No change
r_1675	transport [cytoplasm, nucleus]	No change
r_1676	transport [endoplasmic_reticulum, golgi]	No change
r_1677	transport [endoplasmic_reticulum, golgi]	No change
r_1678	transport [endoplasmic_reticulum, golgi]	No change
r_1679	transport [endoplasmic_reticulum, golgi]	No change
r_1680	transport [endoplasmic_reticulum, golgi]	No change
r_1681	transport [endoplasmic_reticulum, golgi]	No change
r_1682	steroid biosynthesis ( sce00100 )	kegg and imm904
r_1683	exchange reaction	No change
r_1684	transport [cytoplasm, cell_envelope]	No change
r_1685	ubiquinone and other terpenoid-quinone biosynthesis ( sce00130 )	kegg and MNX
r_1686	transport [cytoplasm, extracellular]	No change
r_1687	exchange reaction	No change
r_1688	transport [cytoplasm, peroxisome]	No change
r_1689	transport [cytoplasm, peroxisome]	No change
r_1690	pyrimidine metabolism ( sce00240 )	kegg and MNX
r_1691	transport [cytoplasm, endoplasmic_reticulum]	No change
r_1694	transport [cytoplasm, nucleus]	No change
r_1695	transport [cytoplasm, peroxisome]	No change
r_1696	transport [cytoplasm, mitochondrion]	No change
r_1697	transport [cytoplasm, extracellular]	No change
r_1698	transport [cytoplasm, endoplasmic_reticulum]	No change
r_1699	transport [cytoplasm, nucleus]	No change
r_1700	transport [cytoplasm, peroxisome]	No change
r_1701	transport [cytoplasm, golgi]	No change
r_1702	exchange reaction	No change
r_1703	pyrimidine metabolism ( sce00240 )	kegg and MNX
r_1704	pyrimidine metabolism ( sce00240 )	kegg and MNX
r_1705	exchange reaction	No change
r_1706	exchange reaction	No change
r_1707	transport [cytoplasm, extracellular]	No change
r_1708	transport [cytoplasm, mitochondrion]	No change
r_1709	exchange reaction	No change
r_1710	exchange reaction	No change
r_1711	exchange reaction	No change
r_1712	exchange reaction	No change
r_1713	transport [cytoplasm, extracellular]	No change
r_1714	exchange reaction	No change
r_1715	exchange reaction	No change
r_1716	exchange reaction	No change
r_1717	transport [cytoplasm, extracellular]	No change
r_1718	exchange reaction	No change
r_1719	transport [cytoplasm, extracellular]	No change
r_1720	transport [cytoplasm, nucleus]	No change
r_1721	transport [cytoplasm, nucleus]	No change
r_1722	purine metabolism ( sce00230 )	kegg
r_1723	purine metabolism ( sce00230 )	kegg
r_1724	purine metabolism ( sce00230 )	kegg
r_1725	purine metabolism ( sce00230 )	kegg
r_1726	transport [cytoplasm, nucleus]	No change
r_1727	exchange reaction	No change
r_1728	transport [cytoplasm, extracellular]	No change
r_1729	purine metabolism ( sce00230 )	kegg and MNX
r_1730	exchange reaction	No change
r_1731	transport [cytoplasm, extracellular]	No change
r_1732	transport [cytoplasm, extracellular]	No change
r_1733	transport [cytoplasm, extracellular]	No change
r_1734	pyrimidine metabolism ( sce00240 )	kegg and MNX
r_1735	transport [cytoplasm, extracellular]	No change
r_1736	pantothenate and coa biosynthesis ( sce00770 )	imm904
r_1737	transport [cytoplasm, nucleus]	No change
r_1738	transport [cytoplasm, mitochondrion]	No change
r_1739	arginine and proline metabolism ( sce00330 )	kegg. NOT SURE
r_1743	transport [cytoplasm, mitochondrion]	No change
r_1744	folate biosynthesis ( sce00790 )	MNX
r_1745	transport [cytoplasm, mitochondrion]	No change
r_1746	transport [cytoplasm, mitochondrion]	No change
r_1747	transport [cytoplasm, peroxisome]	No change
r_1748	transport [cytoplasm, endoplasmic_reticulum]	No change
r_1749	exchange reaction	No change
r_1750	transport [cytoplasm, extracellular]	No change
r_1751	transport [cytoplasm, nucleus]	No change
r_1752	transport [cytoplasm, nucleus]	No change
r_1753	exchange reaction	No change
r_1754	transport [cytoplasm, endoplasmic_reticulum]	No change
r_1757	exchange reaction	No change
r_1758	transport [cytoplasm, endoplasmic_reticulum]	No change
r_1759	transport [cytoplasm, lipid_particle]	No change
r_1760	transport [cytoplasm, cell_envelope]	No change
r_1761	exchange reaction	No change
r_1762	transport [cytoplasm, extracellular]	No change
r_1763	transport [cytoplasm, mitochondrion]	No change
r_1764	exchange reaction	No change
r_1765	exchange reaction	No change
r_1766	transport [cytoplasm, mitochondrion]	No change
r_1770	transport [cytoplasm, peroxisome]	No change
r_1771	transport [cytoplasm, peroxisome]	No change
r_1772	transport [cytoplasm, peroxisome]	No change
r_1774	transport [cytoplasm, peroxisome]	No change
r_1775	transport [cytoplasm, peroxisome]	No change
r_1776	transport [cytoplasm, peroxisome]	No change
r_1777	transport [cytoplasm, extracellular]	No change
r_1788	exchange reaction	No change
r_1790	riboflavin metabolism ( sce00740 )	imm904
r_1791	exchange reaction	No change
r_1792	exchange reaction	No change
r_1793	exchange reaction	No change
r_1794	transport [cytoplasm, mitochondrion]	No change
r_1795	transport [cytoplasm, extracellular]	No change
r_1796	transport [cytoplasm, extracellular]	No change
r_1797	fructose and mannose metabolism ( sce00051 )	imm904
r_1798	exchange reaction	No change
r_1800	exchange reaction	No change
r_1801	transport [cytoplasm, golgi]	No change
r_1802	transport [cytoplasm, nucleus]	No change
r_1803	transport [cytoplasm, golgi]	No change
r_1805	transport [cytoplasm, vacuole]	No change
r_1806	exchange reaction	No change
r_1807	exchange reaction	No change
r_1808	exchange reaction	No change
r_1809	transport [cytoplasm, mitochondrion]	No change
r_1810	exchange reaction	No change
r_1811	transport [cytoplasm, mitochondrion]	No change
r_1812	transport [cytoplasm, mitochondrion]	No change
r_1813	transport [cytoplasm, extracellular]	No change
r_1814	exchange reaction	No change
r_1815	exchange reaction	No change
r_1816	transport [cytoplasm, extracellular]	No change
r_1817	transport [cytoplasm, peroxisome]	No change
r_1818	exchange reaction	No change
r_1819	transport [cytoplasm, mitochondrion]	No change
r_1820	exchange reaction	No change
r_1821	purine metabolism ( sce00230 )	kegg and MNX
r_1822	transport [cytoplasm, mitochondrion]	No change
r_1823	transport [cytoplasm, extracellular]	No change
r_1824	transport [cytoplasm, extracellular]	No change
r_1825	transport [cytoplasm, endoplasmic_reticulum]	No change
r_1826	transport [cytoplasm, golgi]	No change
r_1827	transport [cytoplasm, lipid_particle]	No change
r_1829	transport [cytoplasm, nucleus]	No change
r_1830	transport [cytoplasm, peroxisome]	No change
r_1831	transport [cytoplasm, vacuole]	No change
r_1832	exchange reaction	No change
r_1833	transport [cytoplasm, endoplasmic_reticulum]	No change
r_1834	exchange reaction	No change
r_1835	transport [cytoplasm, extracellular]	No change
r_1836	transport [cytoplasm, extracellular]	No change
r_1837	transport [cytoplasm, mitochondrion]	No change
r_1839	transport [cytoplasm, nucleus]	No change
r_1840	transport [cytoplasm, mitochondrion]	No change
r_1841	exchange reaction	No change
r_1842	transport [cytoplasm, extracellular]	No change
r_1843	exchange reaction	No change
r_1844	transport [cytoplasm, mitochondrion]	No change
r_1845	transport [cytoplasm, extracellular]	No change
r_1846	transport [cytoplasm, mitochondrion]	No change
r_1847	exchange reaction	No change
r_1848	transport [cytoplasm, extracellular]	No change
r_1849	transport [cytoplasm, nucleus]	No change
r_1850	purine metabolism ( sce00230 )	kegg and MNX
r_1851	transport [endoplasmic_reticulum, golgi]	No change
r_1852	transport [endoplasmic_reticulum, golgi]	No change
r_1853	transport [endoplasmic_reticulum, golgi]	No change
r_1854	transport [endoplasmic_reticulum, golgi]	No change
r_1855	transport [endoplasmic_reticulum, golgi]	No change
r_1856	transport [endoplasmic_reticulum, golgi]	No change
r_1857	transport [endoplasmic_reticulum, golgi]	No change
r_1858	transport [endoplasmic_reticulum, golgi]	No change
r_1859	transport [endoplasmic_reticulum, golgi]	No change
r_1860	transport [endoplasmic_reticulum, golgi]	No change
r_1861	exchange reaction	No change
r_1862	exchange reaction	No change
r_1863	transport [cytoplasm, extracellular]	No change
r_1864	transport [cytoplasm, mitochondrion]	No change
r_1865	exchange reaction	No change
r_1866	exchange reaction	No change
r_1867	exchange reaction	No change
r_1868	transport [cytoplasm, extracellular]	No change
r_1869	transport [cytoplasm, mitochondrion]	No change
r_1870	exchange reaction	No change
r_1871	arginine and proline metabolism ( sce00330 )	imm904
r_1872	glycine, serine and threonine metabolism ( sce00260 )	kegg and MNX
r_1873	exchange reaction	No change
r_1874	transport [cytoplasm, mitochondrion]	No change
r_1875	exchange reaction	No change
r_1876	transport [cytoplasm, extracellular]	No change
r_1877	transport [cytoplasm, extracellular]	No change
r_1878	exchange reaction	No change
r_1879	exchange reaction	No change
r_1880	exchange reaction	No change
r_1881	exchange reaction	No change
r_1882	transport [cytoplasm, mitochondrion]	No change
r_1883	exchange reaction	No change
r_1884	transport [cytoplasm, mitochondrion]	No change
r_1885	transport [cytoplasm, peroxisome]	No change
r_1886	exchange reaction	No change
r_1887	arginine and proline metabolism ( sce00330 )	kegg and MNX
r_1889	exchange reaction	No change
r_1890	transport [cytoplasm, nucleus]	No change
r_1891	exchange reaction	No change
r_1892	transport [cytoplasm, nucleus]	No change
r_1893	exchange reaction	No change
r_1895	transport [cytoplasm, extracellular]	No change
r_1896	exchange reaction	No change
r_1897	exchange reaction	No change
r_1898	transport [cytoplasm, mitochondrion]	No change
r_1899	exchange reaction	No change
r_1900	exchange reaction	No change
r_1901	transport [cytoplasm, extracellular]	No change
r_1902	exchange reaction	No change
r_1903	exchange reaction	No change
r_1904	exchange reaction	No change
r_1905	transport [cytoplasm, mitochondrion]	No change
r_1906	exchange reaction	No change
r_1907	transport [cytoplasm, endoplasmic_reticulum]	No change
r_1908	transport [cytoplasm, extracellular]	No change
r_1909	exchange reaction	No change
r_1910	transport [cytoplasm, extracellular]	No change
r_1911	exchange reaction	No change
r_1912	exchange reaction	No change
r_1913	exchange reaction	No change
r_1914	exchange reaction	No change
r_1915	exchange reaction	No change
r_1916	exchange reaction	No change
r_1919	transport [cytoplasm, mitochondrion]	No change
r_1920	transport [endoplasmic_reticulum, golgi]	No change
r_1921	transport [endoplasmic_reticulum, golgi]	No change
r_1922	transport [endoplasmic_reticulum, golgi]	No change
r_1923	transport [endoplasmic_reticulum, golgi]	No change
r_1924	transport [endoplasmic_reticulum, golgi]	No change
r_1925	transport [endoplasmic_reticulum, golgi]	No change
r_1926	transport [endoplasmic_reticulum, golgi]	No change
r_1927	transport [endoplasmic_reticulum, golgi]	No change
r_1928	transport [endoplasmic_reticulum, golgi]	No change
r_1929	transport [endoplasmic_reticulum, golgi]	No change
r_1930	transport [cytoplasm, peroxisome]	No change
r_1931	exchange reaction	No change
r_1932	transport [cytoplasm, endoplasmic_reticulum]	No change
r_1935	transport [cytoplasm, mitochondrion]	No change
r_1936	propanoate metabolism ( sce00640 )	kegg and MNX
r_1937	transport [endoplasmic_reticulum, golgi]	No change
r_1938	transport [endoplasmic_reticulum, golgi]	No change
r_1939	transport [endoplasmic_reticulum, golgi]	No change
r_1940	transport [endoplasmic_reticulum, golgi]	No change
r_1941	transport [endoplasmic_reticulum, golgi]	No change
r_1942	transport [endoplasmic_reticulum, golgi]	No change
r_1943	transport [endoplasmic_reticulum, golgi]	No change
r_1944	transport [endoplasmic_reticulum, golgi]	No change
r_1945	transport [endoplasmic_reticulum, golgi]	No change
r_1946	transport [endoplasmic_reticulum, golgi]	No change
r_1947	exchange reaction	No change
r_1952	exchange reaction	No change
r_1963	transport [cytoplasm, endoplasmic_reticulum]	No change
r_1964	transport [cytoplasm, endoplasmic_reticulum]	No change
r_1965	transport [cytoplasm, mitochondrion]	No change
r_1966	transport [cytoplasm, nucleus]	No change
r_1967	exchange reaction	No change
r_1968	exchange reaction	No change
r_1970	transport [cytoplasm, nucleus]	No change
r_1971	transport [cytoplasm, peroxisome]	No change
r_1972	transport [cytoplasm, extracellular]	No change
r_1974	purine metabolism ( sce00230 )	kegg
r_1975	purine metabolism ( sce00230 )	kegg
r_1976	transport [cytoplasm, mitochondrion]	No change
r_1977	transport [cytoplasm, endoplasmic_reticulum]	No change
r_1978	transport [cytoplasm, mitochondrion]	No change
r_1979	transport [cytoplasm, extracellular]	No change
r_1980	transport [cytoplasm, peroxisome]	No change
r_1981	transport [cytoplasm, extracellular]	No change
r_1984	exchange reaction	No change
r_1987	exchange reaction	No change
r_1988	transport [cytoplasm, extracellular]	No change
r_1989	exchange reaction	No change
r_1990	transport [cytoplasm, extracellular]	No change
r_1991	transport [cytoplasm, peroxisome]	No change
r_1992	exchange reaction	No change
r_1993	exchange reaction	No change
r_1994	exchange reaction	No change
r_1995	transport [cytoplasm, endoplasmic_reticulum]	No change
r_1996	transport [cytoplasm, mitochondrion]	No change
r_1997	pantothenate and coa biosynthesis ( sce00770 )	imm904
r_1998	transport [cytoplasm, extracellular]	No change
r_1999	exchange reaction	No change
r_2000	exchange reaction	No change
r_2001	exchange reaction	No change
r_2002	transport [cytoplasm, extracellular]	No change
r_2003	transport [cytoplasm, mitochondrion]	No change
r_2004	transport [cytoplasm, mitochondrion]	No change
r_2005	exchange reaction	No change
r_2008	transport [cytoplasm, vacuole]	No change
r_2020	exchange reaction	No change
r_2022	transport [cytoplasm, mitochondrion]	No change
r_2023	transport [cytoplasm, mitochondrion]	No change
r_2024	exchange reaction	No change
r_2025	vitamin b6 metabolism ( sce00750 )	kegg and MNX
r_2026	vitamin b6 metabolism ( sce00750 )	kegg and MNX
r_2027	vitamin b6 metabolism ( sce00750 )	kegg and MNX
r_2028	exchange reaction	No change
r_2030	riboflavin metabolism ( sce00740 )	imm904
r_2031	pyrimidine metabolism ( sce00240 )	kegg
r_2032	transport [cytoplasm, mitochondrion]	No change
r_2033	exchange reaction	No change
r_2036	transport [cytoplasm, mitochondrion]	No change
r_2037	transport [cytoplasm, peroxisome]	No change
r_2038	exchange reaction	No change
r_2039	transport [cytoplasm, mitochondrion]	No change
r_2040	transport [cytoplasm, extracellular]	No change
r_2041	transport [cytoplasm, extracellular]	No change
r_2042	transport [cytoplasm, mitochondrion]	No change
r_2043	exchange reaction	No change
r_2044	exchange reaction	No change
r_2045	transport [cytoplasm, mitochondrion]	No change
r_2046	exchange reaction	No change
r_2049	exchange reaction	No change
r_2050	arginine and proline metabolism ( sce00330 )	kegg. NOT SURE
r_2051	exchange reaction	No change
r_2052	exchange reaction	No change
r_2053	transport [cytoplasm, endoplasmic_reticulum]	No change
r_2054	transport [cytoplasm, endoplasmic_reticulum]	No change
r_2055	exchange reaction	No change
r_2056	exchange reaction	No change
r_2057	transport [cytoplasm, extracellular]	No change
r_2058	exchange reaction	No change
